stamp_sec,stamp_nsec,robot,x,y
1776942441,689185144,robot_3,-0.971,-0.705
1776942441,689224676,robot_0,1.200,-0.000
1776942441,689243467,robot_2,-0.971,0.705
1776942441,689258331,robot_4,0.371,-1.141
1776942441,689282487,robot_1,0.371,1.141
1776942442,876547061,robot_3,-0.971,-0.705
1776942442,876575551,robot_0,1.200,0.000
1776942442,876588749,robot_2,-0.971,0.705
1776942442,876599591,robot_4,0.371,-1.141
1776942442,876609321,robot_1,0.371,1.141
1776942443,95225954,robot_3,-0.971,-0.705
1776942443,95242339,robot_0,1.200,0.000
1776942443,95249741,robot_2,-0.971,0.705
1776942443,95260822,robot_4,0.371,-1.141
1776942443,95266712,robot_1,0.371,1.141
1776942443,316115688,robot_3,-0.971,-0.705
1776942443,316132628,robot_0,1.200,-0.000
1776942443,316147757,robot_2,-0.971,0.706
1776942443,316153541,robot_4,0.371,-1.142
1776942443,316163031,robot_1,0.371,1.141
1776942443,516405644,robot_3,-0.972,-0.705
1776942443,516435697,robot_0,1.200,-0.001
1776942443,516450334,robot_2,-0.971,0.706
1776942443,516462515,robot_4,0.370,-1.142
1776942443,516474611,robot_1,0.372,1.141
1776942443,735622186,robot_3,-0.972,-0.705
1776942443,735640639,robot_0,1.200,-0.001
1776942443,735651503,robot_2,-0.971,0.706
1776942443,735659675,robot_4,0.370,-1.142
1776942443,735668075,robot_1,0.372,1.142
1776942443,955958430,robot_3,-0.983,-0.724
1776942443,955980554,robot_0,1.215,0.005
1776942443,955989974,robot_2,-0.981,0.709
1776942443,955997307,robot_4,0.370,-1.143
1776942443,956004583,robot_1,0.372,1.142
1776942444,156038911,robot_3,-0.989,-0.735
1776942444,156057998,robot_0,1.256,0.024
1776942444,156067066,robot_2,-1.022,0.716
1776942444,156083917,robot_4,0.393,-1.156
1776942444,156090932,robot_1,0.360,1.174
1776942444,356609897,robot_3,-0.989,-0.735
1776942444,356633788,robot_0,1.292,0.040
1776942444,356641899,robot_2,-1.032,0.718
1776942444,356648728,robot_4,0.421,-1.173
1776942444,356654896,robot_1,0.351,1.198
1776942444,576687094,robot_3,-0.990,-0.734
1776942444,576706314,robot_0,1.347,0.064
1776942444,576715888,robot_2,-1.032,0.719
1776942444,576722950,robot_4,0.421,-1.173
1776942444,576729299,robot_1,0.351,1.198
1776942444,796621017,robot_3,-0.990,-0.734
1776942444,796642457,robot_0,1.413,0.094
1776942444,796652311,robot_2,-1.032,0.719
1776942444,796660815,robot_4,0.421,-1.174
1776942444,796669450,robot_1,0.351,1.198
1776942445,14922484,robot_3,-0.990,-0.732
1776942445,14940324,robot_0,1.453,0.111
1776942445,14947480,robot_2,-1.030,0.720
1776942445,14953921,robot_4,0.419,-1.173
1776942445,14959418,robot_1,0.352,1.197
1776942445,215108783,robot_3,-0.991,-0.732
1776942445,215125688,robot_0,1.466,0.117
1776942445,215132387,robot_2,-1.030,0.721
1776942445,215138240,robot_4,0.419,-1.174
1776942445,215143141,robot_1,0.353,1.198
1776942445,415291684,robot_3,-0.991,-0.732
