stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776966130,722859132,robot_4,53,0.000,-2.000,0.500,-1.500
1776966130,722881006,robot_1,56,0.000,1.000,0.500,1.500
1776966130,722898619,robot_0,65,1.000,0.000,1.500,0.500
1776966130,722914372,robot_3,44,-1.000,-1.000,-0.500,-0.500
1776966130,722930093,robot_2,45,-1.000,0.000,-0.500,0.500
1776966132,334662036,robot_3,34,-2.000,-1.000,-1.500,-0.500
1776966132,334682743,robot_2,35,-2.000,0.000,-1.500,0.500
1776966133,216448246,robot_0,64,1.000,-1.000,1.500,-0.500
1776966134,495416048,robot_3,33,-2.000,-2.000,-1.500,-1.500
1776966134,714598729,robot_2,36,-2.000,1.000,-1.500,1.500
1776966135,133448786,robot_0,74,2.000,-1.000,2.500,-0.500
1776966136,154556001,robot_4,52,0.000,-3.000,0.500,-2.500
1776966136,154595124,robot_0,75,2.000,0.000,2.500,0.500
1776966136,794715431,robot_1,57,0.000,2.000,0.500,2.500
1776966137,654026600,robot_3,23,-3.000,-2.000,-2.500,-1.500
1776966137,874666415,robot_2,26,-3.000,1.000,-2.500,1.500
1776966140,834168343,robot_4,51,0.000,-4.000,0.500,-3.500
1776966141,234457298,robot_1,58,0.000,3.000,0.500,3.500
1776966141,453619890,robot_3,22,-3.000,-3.000,-2.500,-2.500
1776966141,654279445,robot_4,61,1.000,-4.000,1.500,-3.500
1776966143,353661941,robot_3,12,-4.000,-3.000,-3.500,-2.500
1776966145,53883679,robot_4,60,1.000,-5.000,1.500,-4.500
1776966145,894103432,robot_1,68,1.000,3.000,1.500,3.500
1776966146,314571508,robot_1,69,1.000,4.000,1.500,4.500
1776966153,915066642,robot_0,73,2.000,-2.000,2.500,-1.500
1776966155,613754997,robot_2,27,-3.000,2.000,-2.500,2.500
1776966158,495018971,robot_0,72,2.000,-3.000,2.500,-2.500
1776966164,614376742,robot_0,62,1.000,-3.000,1.500,-2.500
1776966166,716097355,robot_3,32,-2.000,-3.000,-1.500,-2.500
1776966167,336250520,robot_2,46,-1.000,1.000,-0.500,1.500
1776966171,713987635,robot_1,55,0.000,0.000,0.500,0.500
1776966174,454037774,robot_2,54,0.000,-1.000,0.500,-0.500
1776966180,576433388,robot_1,63,1.000,-2.000,1.500,-1.500
1776966183,295102268,robot_3,13,-4.000,-2.000,-3.500,-1.500
1776966184,554827884,robot_3,3,-5.000,-2.000,-4.500,-1.500
1776966198,674908281,robot_0,42,-1.000,-3.000,-0.500,-2.500
1776966206,853511842,robot_1,37,-2.000,2.000,-1.500,2.500
1776966213,574892986,robot_1,47,-1.000,2.000,-0.500,2.500
1776966217,615275967,robot_1,48,-1.000,3.000,-0.500,3.500
1776966219,94193734,robot_3,2,-5.000,-3.000,-4.500,-2.500
1776966227,794540123,robot_1,78,2.000,3.000,2.500,3.500
1776966229,95176367,robot_4,66,1.000,1.000,1.500,1.500
1776966233,375646839,robot_4,67,1.000,2.000,1.500,2.500
1776966236,993597551,robot_4,77,2.000,2.000,2.500,2.500
1776966270,435922719,robot_4,87,3.000,2.000,3.500,2.500
1776966286,275154147,robot_3,4,-5.000,-1.000,-4.500,-0.500
1776966289,14263154,robot_1,79,2.000,4.000,2.500,4.500
1776966290,895454276,robot_3,5,-5.000,0.000,-4.500,0.500
1776966296,974929428,robot_4,25,-3.000,0.000,-2.500,0.500
1776966301,193673963,robot_4,15,-4.000,0.000,-3.500,0.500
1776966311,754303886,robot_4,14,-4.000,-1.000,-3.500,-0.500
