stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776969192,428431231,robot_3,64,1.000,-1.000,1.500,-0.500
1776969192,428460836,robot_4,36,-2.000,1.000,-1.500,1.500
1776969192,428484038,robot_2,13,-4.000,-2.000,-3.500,-1.500
1776969192,428508095,robot_0,81,3.000,-4.000,3.500,-3.500
1776969192,428529890,robot_1,48,-1.000,3.000,-0.500,3.500
1776969195,790378286,robot_2,23,-3.000,-2.000,-2.500,-1.500
1776969195,790416024,robot_1,58,0.000,3.000,0.500,3.500
1776969197,90641393,robot_0,91,4.000,-4.000,4.500,-3.500
1776969198,350374378,robot_3,74,2.000,-1.000,2.500,-0.500
1776969198,350392613,robot_4,46,-1.000,1.000,-0.500,1.500
1776969200,690781012,robot_2,33,-2.000,-2.000,-1.500,-1.500
1776969200,690809260,robot_1,68,1.000,3.000,1.500,3.500
1776969203,270403837,robot_3,84,3.000,-1.000,3.500,-0.500
1776969203,270433519,robot_4,56,0.000,1.000,0.500,1.500
1776969205,811430675,robot_1,78,2.000,3.000,2.500,3.500
1776969208,309804072,robot_3,94,4.000,-1.000,4.500,-0.500
1776969208,309829222,robot_4,66,1.000,1.000,1.500,1.500
1776969217,569423814,robot_0,82,3.000,-3.000,3.500,-2.500
1776969229,349960570,robot_4,45,-1.000,0.000,-0.500,0.500
1776969230,190076619,robot_4,35,-2.000,0.000,-1.500,0.500
1776969233,770806932,robot_3,95,4.000,0.000,4.500,0.500
1776969235,69761534,robot_4,25,-3.000,0.000,-2.500,0.500
1776969246,108713941,robot_1,38,-2.000,3.000,-1.500,3.500
1776969250,350188434,robot_1,39,-2.000,4.000,-1.500,4.500
1776969253,510215721,robot_1,49,-1.000,4.000,-0.500,4.500
1776969263,869430275,robot_4,15,-4.000,0.000,-3.500,0.500
1776969291,910439349,robot_0,71,2.000,-4.000,2.500,-3.500
1776969292,549844560,robot_0,72,2.000,-3.000,2.500,-2.500
1776969298,250735810,robot_0,73,2.000,-2.000,2.500,-1.500
1776969299,949763085,robot_4,44,-1.000,-1.000,-0.500,-0.500
1776969302,471642148,robot_0,63,1.000,-2.000,1.500,-1.500
1776969304,389432186,robot_4,54,0.000,-1.000,0.500,-0.500
1776969309,670882322,robot_0,65,1.000,0.000,1.500,0.500
1776969313,9714926,robot_0,55,0.000,0.000,0.500,0.500
1776969320,551270331,robot_4,83,3.000,-2.000,3.500,-1.500
1776969320,989794264,robot_0,57,0.000,2.000,0.500,2.500
1776969323,510699975,robot_0,47,-1.000,2.000,-0.500,2.500
1776969351,874342510,robot_2,43,-1.000,-2.000,-0.500,-1.500
1776969356,303482506,robot_4,26,-3.000,1.000,-2.500,1.500
1776969389,465575894,robot_2,75,2.000,0.000,2.500,0.500
1776969389,684771439,robot_2,76,2.000,1.000,2.500,1.500
