stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
17,30000000,global,1,0,1,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.359639,0.925483,0.148712,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
18,420000000,global,2,0,2,obstacle,"('robot_4', 'box3::link::collision')",robot_4,box3::link::collision,2.480093,1.120075,0.148123,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
20,910000000,global,3,0,3,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.333150,-1.968198,0.256909,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
21,920000000,global,4,0,4,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.123046,3.573733,0.149152,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
25,180000000,global,5,0,5,obstacle,"('robot_1', 'cylinder0::link::collision')",robot_1,cylinder0::link::collision,3.095756,3.546964,0.228000,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
26,860000000,global,6,0,6,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.424262,-2.093512,0.149157,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
31,40000000,global,7,0,7,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.310941,-1.946079,0.234787,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
33,270000000,global,8,0,8,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.313919,-1.948911,0.214518,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
37,250000000,global,9,0,9,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.362179,-2.001065,0.148177,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
41,60000000,global,10,0,10,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.304807,-1.940369,0.244003,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
43,280000000,global,11,0,11,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.305429,-1.940941,0.247834,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
46,950000000,global,12,0,12,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.367524,-2.007689,0.147968,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
50,920000000,global,13,0,13,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.286509,-1.924264,0.150049,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
57,0,global,14,0,14,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.388524,-2.035783,0.147969,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
61,0,global,15,0,15,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.279153,-1.918157,0.147717,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
66,780000000,global,16,0,16,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.382261,-2.027033,0.147942,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
71,120000000,global,17,0,17,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.265439,-1.907294,0.257331,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
76,950000000,global,18,0,18,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.346373,-1.982560,0.148081,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
80,940000000,global,19,0,19,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.233376,-1.884331,0.147573,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
87,50000000,global,20,0,20,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.330349,-1.965276,0.148080,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
96,860000000,global,21,0,21,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.326789,-1.961620,0.148087,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
100,850000000,global,22,0,22,obstacle,"('robot_2', 'cylinder1::link::collision')",robot_2,cylinder1::link::collision,-1.204836,-1.866464,0.147566,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
111,910000000,global,23,0,23,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,1.887010,-3.460437,0.148004,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
116,510000000,global,24,0,24,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,1.888948,-3.459344,0.147785,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
122,110000000,global,25,0,25,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,1.887010,-3.460437,0.147923,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
123,600000000,global,26,0,26,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,1.904239,-3.442704,0.147984,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
123,750000000,global,27,0,27,obstacle,"('robot_2', 'box1::link::collision')",robot_2,box1::link::collision,-3.562050,0.423649,0.023087,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
126,470000000,global,28,0,28,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,1.891038,-3.457217,0.147594,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
128,420000000,global,29,0,29,obstacle,"('robot_2', 'box1::link::collision')",robot_2,box1::link::collision,-3.550843,0.496096,0.147564,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
131,830000000,global,30,0,30,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,1.887010,-3.460437,0.148085,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
133,300000000,global,31,0,31,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,1.967420,-3.369566,0.148087,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
136,370000000,global,32,0,32,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,1.894380,-3.453543,0.147651,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
141,720000000,global,33,0,33,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,1.887010,-3.460437,0.147979,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
143,240000000,global,34,0,34,obstacle,"('robot_4', 'box0::link::collision')",robot_4,box0::link::collision,1.951564,-3.387971,0.147973,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
154,500000000,global,35,0,35,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.355815,-2.578531,0.148077,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
158,490000000,global,36,0,36,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.435357,-2.724899,0.253200,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
160,790000000,global,37,0,37,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.422339,-2.706697,0.245435,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
164,400000000,global,38,0,38,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.371726,-2.617108,0.033906,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
168,410000000,global,39,0,39,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.441794,-2.733385,0.147809,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
174,580000000,global,40,0,40,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.411937,-2.691020,0.147847,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
178,410000000,global,41,0,41,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.459902,-2.755668,0.147811,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
179,490000000,global,42,0,42,obstacle,"('robot_2', 'box1::link::collision')",robot_2,box1::link::collision,-3.382028,1.599973,0.148115,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
184,280000000,global,43,0,43,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.386977,-2.648195,0.147847,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
186,610000000,global,44,0,44,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.145838,2.606454,0.148050,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
188,270000000,global,45,0,45,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.479903,-2.777916,0.147809,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
190,760000000,global,46,0,46,obstacle,"('robot_2', 'box2::link::collision')",robot_2,box2::link::collision,-2.258199,2.774310,0.023425,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
191,980000000,global,47,0,47,obstacle,"('robot_0', 'south_wall::link::collision')",robot_0,south_wall::link::collision,-1.658655,-5.000048,0.023880,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
194,280000000,global,48,0,48,obstacle,"('robot_4', 'cylinder1::link::collision')",robot_4,cylinder1::link::collision,-0.397828,-2.667841,0.147849,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
195,940000000,global,49,0,49,obstacle,"('robot_0', 'south_wall::link::collision')",robot_0,south_wall::link::collision,-1.869625,-5.000156,0.147819,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
