stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1776944274,2425916,robot_1,56,0.000,1.000,0.500,1.500
1776944274,2460461,robot_2,45,-1.000,0.000,-0.500,0.500
1776944274,2487919,robot_0,65,1.000,0.000,1.500,0.500
1776944274,2516008,robot_3,44,-1.000,-1.000,-0.500,-0.500
1776944274,2541718,robot_4,53,0.000,-2.000,0.500,-1.500
1776944275,895071564,robot_0,64,1.000,-1.000,1.500,-0.500
1776944276,734915637,robot_3,34,-2.000,-1.000,-1.500,-0.500
1776944299,95121387,robot_0,54,0.000,-1.000,0.500,-0.500
1776944343,475975324,robot_0,55,0.000,0.000,0.500,0.500
1776944343,895689370,robot_2,35,-2.000,0.000,-1.500,0.500
1776944365,995305396,robot_1,46,-1.000,1.000,-0.500,1.500
