stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
25,520000000,global,1,0,1,obstacle,"('robot_0', 'box3::link::collision')",robot_0,box3::link::collision,2.745909,0.554102,0.024152,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
60,480000000,global,2,1,1,robot,"('robot_0', 'robot_2')",robot_0,robot_2,0.664682,-1.554276,0.148474,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
114,300000000,global,3,2,1,robot,"('robot_0', 'robot_1')",robot_0,robot_1,2.119122,4.425991,0.147183,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
119,440000000,global,4,3,1,robot,"('robot_0', 'robot_1')",robot_0,robot_1,2.221773,4.369843,0.147823,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
127,120000000,global,5,3,2,obstacle,"('robot_4', 'north_wall::link::collision')",robot_4,north_wall::link::collision,1.182664,5.001219,0.024145,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
131,40000000,global,6,3,3,obstacle,"('robot_4', 'north_wall::link::collision')",robot_4,north_wall::link::collision,0.947178,5.000251,0.147727,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
133,360000000,global,7,4,3,robot,"('robot_0', 'robot_4')",robot_0,robot_4,1.202470,4.218038,0.147639,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
135,790000000,global,8,4,4,obstacle,"('robot_3', 'cylinder1::link::collision')",robot_3,cylinder1::link::collision,-1.387105,-2.713656,0.077574,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
147,150000000,global,9,4,5,obstacle,"('robot_4', 'north_wall::link::collision')",robot_4,north_wall::link::collision,1.218991,5.001474,0.147977,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
150,810000000,global,10,4,6,obstacle,"('robot_4', 'north_wall::link::collision')",robot_4,north_wall::link::collision,1.006320,5.000029,0.272741,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
153,120000000,global,11,4,7,obstacle,"('robot_4', 'north_wall::link::collision')",robot_4,north_wall::link::collision,1.032969,5.000162,0.272581,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
184,840000000,global,12,4,8,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-2.885370,-3.705341,0.147759,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
