stamp_sec,stamp_nsec,robot,x,y
1776983507,843554220,robot_0,3.500,-3.250
1776983507,843612206,robot_1,-0.250,3.500
1776983507,843641328,robot_3,1.250,-0.250
1776983507,843665697,robot_2,-3.250,-1.750
1776983507,843688836,robot_4,-1.750,1.250
1776983509,27088631,robot_0,3.500,-3.250
1776983509,27110117,robot_1,-0.250,3.500
1776983509,27117524,robot_3,1.250,-0.250
1776983509,27123375,robot_2,-3.250,-1.750
1776983509,27128717,robot_4,-1.750,1.250
1776983509,248040899,robot_0,3.528,-3.250
1776983509,248061076,robot_1,-0.223,3.500
1776983509,248069173,robot_3,1.281,-0.250
1776983509,248075538,robot_2,-3.211,-1.750
1776983509,248082209,robot_4,-1.713,1.250
1776983509,466690112,robot_0,3.572,-3.250
1776983509,466706546,robot_1,-0.179,3.500
1776983509,466713482,robot_3,1.325,-0.251
1776983509,466719436,robot_2,-3.166,-1.750
1776983509,466724864,robot_4,-1.669,1.250
1776983509,666891968,robot_0,3.625,-3.250
1776983509,666918881,robot_1,-0.145,3.500
1776983509,666931343,robot_3,1.350,-0.251
1776983509,666940594,robot_2,-3.134,-1.750
1776983509,666949642,robot_4,-1.615,1.250
1776983509,868039602,robot_0,3.672,-3.250
1776983509,868060308,robot_1,-0.111,3.500
1776983509,868069816,robot_3,1.382,-0.252
1776983509,868077349,robot_2,-3.102,-1.750
1776983509,868084543,robot_4,-1.560,1.249
1776983510,68104662,robot_0,3.712,-3.250
1776983510,68130530,robot_1,-0.071,3.500
1776983510,68142099,robot_3,1.422,-0.253
1776983510,68154691,robot_2,-3.062,-1.750
1776983510,68164542,robot_4,-1.520,1.249
1776983510,268353825,robot_0,3.781,-3.250
1776983510,268397065,robot_1,-0.027,3.500
1776983510,268415959,robot_3,1.480,-0.254
1776983510,268450614,robot_2,-3.028,-1.750
1776983510,268467060,robot_4,-1.465,1.249
1776983510,468773700,robot_0,3.845,-3.250
1776983510,468804247,robot_1,0.016,3.499
1776983510,468832413,robot_3,1.531,-0.255
1776983510,468843725,robot_2,-2.995,-1.749
1776983510,468864960,robot_4,-1.408,1.249
1776983510,687489199,robot_0,3.890,-3.250
1776983510,687522402,robot_1,0.060,3.497
1776983510,687538074,robot_3,1.576,-0.256
1776983510,687549820,robot_2,-2.951,-1.747
1776983510,687584045,robot_4,-1.364,1.249
1776983510,888424045,robot_0,3.962,-3.250
1776983510,888458356,robot_1,0.096,3.496
1776983510,888473501,robot_3,1.634,-0.257
1776983510,888486498,robot_2,-2.917,-1.746
1776983510,888498397,robot_4,-1.327,1.248
1776983511,106138863,robot_0,4.027,-3.250
1776983511,106173171,robot_1,0.137,3.497
1776983511,106179117,robot_3,1.686,-0.258
1776983511,106207427,robot_2,-2.877,-1.745
1776983511,106212725,robot_4,-1.285,1.248
1776983511,306509853,robot_0,4.069,-3.250
1776983511,306528476,robot_1,0.177,3.499
1776983511,306536436,robot_3,1.729,-0.259
1776983511,306541810,robot_2,-2.837,-1.744
1776983511,306547566,robot_4,-1.245,1.248
1776983511,508888430,robot_0,4.119,-3.250
1776983511,508910384,robot_1,0.202,3.500
1776983511,508917895,robot_3,1.789,-0.260
1776983511,508924267,robot_2,-2.778,-1.741
1776983511,508930440,robot_4,-1.222,1.248
1776983511,727147856,robot_0,4.166,-3.250
1776983511,727174282,robot_1,0.238,3.501
1776983511,727182227,robot_3,1.841,-0.261
1776983511,727187906,robot_2,-2.723,-1.740
1776983511,727193526,robot_4,-1.188,1.246
1776983511,927538340,robot_0,4.211,-3.250
1776983511,927561428,robot_1,0.278,3.502
1776983511,927572969,robot_3,1.886,-0.262
1776983511,927581293,robot_2,-2.683,-1.738
1776983511,927590000,robot_4,-1.147,1.244
1776983512,127796828,robot_0,4.274,-3.250
1776983512,127832673,robot_1,0.315,3.504
1776983512,127846228,robot_3,1.958,-0.263
1776983512,127856735,robot_2,-2.643,-1.737
1776983512,127867878,robot_4,-1.080,1.241
1776983512,347331010,robot_0,4.325,-3.250
1776983512,347355174,robot_1,0.358,3.505
1776983512,347365434,robot_3,2.012,-0.265
1776983512,347385011,robot_2,-2.599,-1.735
1776983512,347393287,robot_4,-1.021,1.238
1776983512,566715518,robot_0,4.369,-3.250
1776983512,566736566,robot_1,0.401,3.507
1776983512,566744104,robot_3,2.049,-0.265
1776983512,566750618,robot_2,-2.550,-1.733
1776983512,566756865,robot_4,-0.979,1.236
1776983512,787982580,robot_0,4.414,-3.250
1776983512,788007675,robot_1,0.442,3.509
1776983512,788015797,robot_3,2.077,-0.265
1776983512,788021733,robot_2,-2.485,-1.731
1776983512,788027368,robot_4,-0.947,1.234
1776983513,8079283,robot_0,4.458,-3.250
1776983513,8099762,robot_1,0.486,3.510
1776983513,8107515,robot_3,2.121,-0.262
1776983513,8113438,robot_2,-2.438,-1.730
1776983513,8118665,robot_4,-0.905,1.229
1776983513,227261706,robot_0,4.502,-3.250
1776983513,227289684,robot_1,0.522,3.512
1776983513,227301976,robot_3,2.184,-0.258
1776983513,227312142,robot_2,-2.380,-1.728
1776983513,227321964,robot_4,-0.854,1.224
1776983513,427273602,robot_0,4.542,-3.248
1776983513,427302561,robot_1,0.548,3.512
1776983513,427314583,robot_3,2.247,-0.254
1776983513,427323487,robot_2,-2.311,-1.725
1776983513,427332384,robot_4,-0.802,1.218
1776983513,627840194,robot_0,4.582,-3.245
1776983513,627877642,robot_1,0.587,3.511
1776983513,627891740,robot_3,2.287,-0.251
1776983513,627902421,robot_2,-2.270,-1.724
1776983513,627912994,robot_4,-0.762,1.214
1776983513,847139125,robot_0,4.597,-3.243
1776983513,847174778,robot_1,0.636,3.511
1776983513,847184845,robot_3,2.354,-0.247
1776983513,847192825,robot_2,-2.218,-1.722
1776983513,847200002,robot_4,-0.706,1.208
1776983514,67525314,robot_0,4.597,-3.243
1776983514,67551039,robot_1,0.686,3.511
1776983514,67561019,robot_3,2.420,-0.242
1776983514,67569257,robot_2,-2.163,-1.720
1776983514,67577100,robot_4,-0.644,1.202
1776983514,267597530,robot_0,4.597,-3.243
1776983514,267618741,robot_1,0.726,3.513
1776983514,267627756,robot_3,2.460,-0.239
1776983514,267635168,robot_2,-2.123,-1.719
1776983514,267642690,robot_4,-0.605,1.198
1776983514,486301225,robot_0,4.597,-3.242
1776983514,486325954,robot_1,0.772,3.516
1776983514,486333790,robot_3,2.506,-0.236
1776983514,486339297,robot_2,-2.086,-1.717
1776983514,486344634,robot_4,-0.548,1.192
1776983514,687184324,robot_0,4.598,-3.242
1776983514,687203219,robot_1,0.813,3.518
1776983514,687210138,robot_3,2.547,-0.234
1776983514,687216004,robot_2,-2.050,-1.718
1776983514,687221913,robot_4,-0.497,1.190
1776983514,906925484,robot_0,4.598,-3.242
1776983514,906945555,robot_1,0.857,3.520
1776983514,906952790,robot_3,2.593,-0.230
1776983514,906958485,robot_2,-2.007,-1.719
1776983514,906963499,robot_4,-0.453,1.189
1776983515,107796164,robot_0,4.598,-3.242
1776983515,107818704,robot_1,0.882,3.521
1776983515,107827680,robot_3,2.662,-0.227
1776983515,107834929,robot_2,-1.942,-1.721
1776983515,107849542,robot_4,-0.399,1.188
1776983515,326973383,robot_0,4.599,-3.241
1776983515,326995961,robot_1,0.917,3.523
1776983515,327002991,robot_3,2.720,-0.225
1776983515,327008914,robot_2,-1.882,-1.723
1776983515,327014397,robot_4,-0.347,1.187
1776983515,548277622,robot_0,4.599,-3.241
1776983515,548297001,robot_1,0.964,3.525
1776983515,548304182,robot_3,2.759,-0.224
1776983515,548310050,robot_2,-1.839,-1.725
1776983515,548315368,robot_4,-0.303,1.187
1776983515,766996601,robot_0,4.599,-3.241
1776983515,767013491,robot_1,1.038,3.530
1776983515,767027659,robot_3,2.786,-0.223
1776983515,767032806,robot_2,-1.800,-1.726
1776983515,767038039,robot_4,-0.256,1.186
1776983515,986512815,robot_0,4.599,-3.241
1776983515,986528858,robot_1,1.091,3.535
1776983515,986535600,robot_3,2.828,-0.220
1776983515,986541370,robot_2,-1.757,-1.728
1776983515,986546362,robot_4,-0.211,1.187
1776983516,187586892,robot_0,4.599,-3.241
1776983516,187607917,robot_1,1.140,3.540
1776983516,187614855,robot_3,2.871,-0.216
1776983516,187621165,robot_2,-1.726,-1.729
1776983516,187626427,robot_4,-0.164,1.189
1776983516,406689755,robot_0,4.600,-3.241
1776983516,406711276,robot_1,1.218,3.547
1776983516,406719560,robot_3,2.918,-0.212
1776983516,406726827,robot_2,-1.726,-1.728
1776983516,406733412,robot_4,-0.089,1.191
1776983516,608024935,robot_0,4.600,-3.241
1776983516,608054249,robot_1,1.263,3.552
1776983516,608066195,robot_3,2.958,-0.209
1776983516,608075726,robot_2,-1.726,-1.728
1776983516,608084858,robot_4,-0.045,1.192
1776983516,826464941,robot_0,4.600,-3.241
1776983516,826482077,robot_1,1.321,3.558
1776983516,826489215,robot_3,2.989,-0.206
1776983516,826494422,robot_2,-1.726,-1.728
1776983516,826499366,robot_4,-0.011,1.193
1776983517,29517489,robot_0,4.601,-3.242
1776983517,29551357,robot_1,1.393,3.566
1776983517,29564470,robot_3,3.014,-0.204
1776983517,29590090,robot_2,-1.726,-1.727
1776983517,29600829,robot_4,0.011,1.194
1776983517,247211795,robot_0,4.601,-3.242
1776983517,247234743,robot_1,1.441,3.571
1776983517,247243437,robot_3,3.058,-0.200
1776983517,247251515,robot_2,-1.725,-1.727
1776983517,247259386,robot_4,0.054,1.195
1776983517,466575922,robot_0,4.601,-3.242
1776983517,466594631,robot_1,1.504,3.579
1776983517,466601161,robot_3,3.112,-0.196
1776983517,466607012,robot_2,-1.725,-1.727
1776983517,466612615,robot_4,0.102,1.196
1776983517,686103623,robot_0,4.601,-3.243
1776983517,686121518,robot_1,1.570,3.588
1776983517,686128536,robot_3,3.161,-0.192
1776983517,686134752,robot_2,-1.724,-1.727
1776983517,686140130,robot_4,0.150,1.198
1776983517,886396924,robot_0,4.601,-3.243
1776983517,886418119,robot_1,1.610,3.593
1776983517,886425098,robot_3,3.202,-0.188
1776983517,886430548,robot_2,-1.724,-1.727
1776983517,886436209,robot_4,0.190,1.199
1776983518,88147166,robot_0,4.601,-3.243
1776983518,88166312,robot_1,1.640,3.597
1776983518,88173631,robot_3,3.257,-0.184
1776983518,88179908,robot_2,-1.724,-1.727
1776983518,88185567,robot_4,0.251,1.200
1776983518,306849026,robot_0,4.601,-3.244
1776983518,306872938,robot_1,1.677,3.601
1776983518,306884048,robot_3,3.308,-0.179
1776983518,306893691,robot_2,-1.723,-1.727
1776983518,306902569,robot_4,0.315,1.201
1776983518,507669329,robot_0,4.601,-3.244
1776983518,507687463,robot_1,1.717,3.606
1776983518,507694523,robot_3,3.351,-0.176
1776983518,507700770,robot_2,-1.723,-1.727
1776983518,507706945,robot_4,0.355,1.201
1776983518,708093832,robot_0,4.601,-3.244
