stamp_sec,stamp_nsec,robot,x,y
1776984729,327387805,robot_4,0.371,-1.141
1776984729,327440842,robot_0,1.200,-0.000
1776984729,327465093,robot_2,-0.971,0.705
1776984729,327489061,robot_1,0.371,1.141
1776984729,327511798,robot_3,-0.971,-0.705
1776984730,469097851,robot_4,0.371,-1.141
1776984730,469127955,robot_0,1.200,0.000
1776984730,469147624,robot_2,-0.971,0.705
1776984730,469163531,robot_1,0.371,1.141
1776984730,469174588,robot_3,-0.971,-0.705
1776984730,687934402,robot_4,0.371,-1.141
1776984730,687952253,robot_0,1.200,0.000
1776984730,687960990,robot_2,-0.971,0.705
1776984730,687967935,robot_1,0.371,1.141
1776984730,687974142,robot_3,-0.971,-0.705
1776984730,908337949,robot_4,0.371,-1.142
1776984730,908359710,robot_0,1.200,-0.000
1776984730,908381033,robot_2,-0.971,0.706
1776984730,908389859,robot_1,0.371,1.141
1776984730,908398047,robot_3,-0.971,-0.705
1776984731,108566854,robot_4,0.370,-1.142
1776984731,108595013,robot_0,1.200,-0.001
1776984731,108609807,robot_2,-0.971,0.706
1776984731,108620717,robot_1,0.372,1.141
1776984731,108631297,robot_3,-0.972,-0.705
1776984731,328800428,robot_4,0.370,-1.142
1776984731,328817833,robot_0,1.201,-0.001
1776984731,328824645,robot_2,-0.971,0.707
1776984731,328830058,robot_1,0.372,1.142
1776984731,328835519,robot_3,-0.972,-0.705
1776984731,546751872,robot_4,0.389,-1.162
1776984731,546768461,robot_0,1.219,0.009
1776984731,546775130,robot_2,-0.971,0.707
1776984731,546780876,robot_1,0.372,1.142
1776984731,546786197,robot_3,-0.972,-0.705
1776984731,747799372,robot_4,0.412,-1.185
1776984731,747822765,robot_0,1.252,0.026
1776984731,747833208,robot_2,-0.978,0.706
1776984731,747842183,robot_1,0.370,1.147
1776984731,747850852,robot_3,-0.976,-0.717
1776984731,948218993,robot_4,0.412,-1.185
1776984731,948240687,robot_0,1.254,0.027
1776984731,948247616,robot_2,-1.017,0.703
1776984731,948260899,robot_1,0.355,1.183
1776984731,948266261,robot_3,-0.986,-0.756
1776984732,148384909,robot_4,0.412,-1.186
1776984732,148409036,robot_0,1.254,0.027
1776984732,148421081,robot_2,-1.031,0.701
1776984732,148430326,robot_1,0.348,1.197
1776984732,148439555,robot_3,-0.987,-0.763
1776984732,368401245,robot_4,0.411,-1.186
1776984732,368430320,robot_0,1.254,0.027
1776984732,368445611,robot_2,-1.031,0.702
1776984732,368459277,robot_1,0.349,1.197
1776984732,368470948,robot_3,-0.988,-0.763
1776984732,588056520,robot_4,0.410,-1.186
1776984732,588083998,robot_0,1.254,0.025
1776984732,588096795,robot_2,-1.029,0.702
1776984732,588107302,robot_1,0.349,1.196
