wall_time,source,target,decision,skip_reason,source_zone,source_zone_active,source_zone_age_s,target_zone,target_zone_active,target_zone_age_s,distance_m,warning_distance_m,source_pose_fresh,target_pose_fresh,source_pose_age_s,target_pose_age_s,warning_zone,bearing_deg,zone_reason
1783521775.136351,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,,CLEAR,false,,0.000750,1.000000,true,true,0.047806,0.047175,CORNER,0.085944,critical_distance
1783521775.136351,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,,CLEAR,false,,0.000000,1.000000,true,true,0.047806,0.046966,CORNER,-90.028648,critical_distance
1783521775.236335,robot_0,robot_1,skipped,target_zone_active,CORNER,true,0.065142,CORNER,true,0.056543,0.004526,1.000000,true,true,0.047663,0.047045,CORNER,0.318225,critical_distance
1783521775.236335,robot_0,robot_2,skipped,target_zone_active,CORNER,true,0.065142,CORNER,true,0.076400,0.005350,1.000000,true,true,0.047663,0.046829,CORNER,-2.982457,critical_distance
1783521775.336228,robot_0,robot_1,skipped,target_zone_active,CORNER,true,0.165035,CORNER,true,0.156436,0.000227,1.000000,true,true,0.047482,0.047834,CORNER,169.450922,critical_distance
1783521775.336228,robot_0,robot_2,skipped,target_zone_active,CORNER,true,0.165035,CORNER,true,0.176293,0.011519,1.000000,true,true,0.047482,0.047359,CORNER,-5.240816,critical_distance
1783521775.436227,robot_0,robot_1,skipped,target_zone_active,CORNER,true,0.265034,CORNER,true,0.256436,0.009974,1.000000,true,true,0.047216,0.047681,CORNER,179.836618,critical_distance
1783521775.436227,robot_0,robot_2,skipped,target_zone_active,CORNER,true,0.265034,CORNER,true,0.276292,0.015789,1.000000,true,true,0.047216,0.047039,CORNER,-1.633914,critical_distance
1783521775.536285,robot_0,robot_1,skipped,target_zone_active,CORNER,true,0.365092,CORNER,true,0.356493,0.010724,1.000000,true,true,0.047473,0.047974,CORNER,179.976277,critical_distance
1783521775.536285,robot_0,robot_2,skipped,target_zone_active,CORNER,true,0.365092,CORNER,true,0.376350,0.015841,1.000000,true,true,0.047473,0.047277,CORNER,2.886006,critical_distance
1783521775.636333,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.068309,CLEAR,false,0.059202,0.010474,1.000000,true,true,0.047024,0.046864,CORNER,-179.894637,critical_distance
1783521775.636333,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.068309,CORNER,true,0.476398,0.016237,1.000000,true,true,0.047024,0.047540,CORNER,7.181274,critical_distance
1783521775.736373,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.168349,CLEAR,false,0.159242,0.002777,1.000000,true,true,0.046771,0.047380,CORNER,-0.527459,critical_distance
1783521775.736373,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.168349,CORNER,true,0.080474,0.021997,1.000000,true,true,0.046771,0.046536,CORNER,6.152055,critical_distance
1783521775.836256,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.268232,CLEAR,false,0.259125,0.005276,1.000000,true,true,0.047221,0.046945,CORNER,-0.174420,critical_distance
1783521775.836256,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.268232,CORNER,true,0.180357,0.021997,1.000000,true,true,0.047221,0.046845,CORNER,6.770849,critical_distance
1783521775.936258,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.368234,CLEAR,false,0.359128,0.005276,1.000000,true,true,0.047376,0.047256,CORNER,1.286622,critical_distance
1783521775.936258,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.368234,CORNER,true,0.280359,0.021997,1.000000,true,true,0.047376,0.047938,CORNER,9.091328,critical_distance
1783521776.036333,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.468309,CLEAR,false,0.459202,0.005276,1.000000,true,true,0.047769,0.047480,CORNER,4.466538,critical_distance
1783521776.036333,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.468309,CORNER,true,0.380433,0.021997,1.000000,true,true,0.047769,0.047238,CORNER,13.130680,critical_distance
1783521776.136339,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.060128,CLEAR,false,0.049749,0.005276,1.000000,true,true,0.047334,0.047819,CORNER,9.365327,critical_distance
1783521776.136339,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.060128,CORNER,true,0.078143,0.021997,1.000000,true,true,0.047334,0.047162,CORNER,18.659723,critical_distance
1783521776.236217,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.160006,CLEAR,false,0.149627,0.005276,1.000000,true,true,0.047316,0.046718,CORNER,15.094905,critical_distance
1783521776.236217,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.160006,CORNER,true,0.178020,0.021997,1.000000,true,true,0.047316,0.046499,CORNER,24.389301,critical_distance
1783521776.336289,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.260077,CLEAR,false,0.249699,0.005276,1.000000,true,true,0.048075,0.047909,CORNER,20.824483,critical_distance
1783521776.336289,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.260077,CORNER,true,0.278092,0.021997,1.000000,true,true,0.048075,0.047774,CORNER,30.118879,critical_distance
1783521776.436342,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.360131,CLEAR,false,0.349752,0.005276,1.000000,true,true,0.047235,0.047804,CORNER,26.554062,critical_distance
1783521776.436342,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.360131,CORNER,true,0.378146,0.021997,1.000000,true,true,0.047235,0.047079,CORNER,35.848457,critical_distance
1783521776.536239,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.460027,CLEAR,false,0.449648,0.005276,1.000000,true,true,0.047136,0.047654,CORNER,32.283640,critical_distance
1783521776.536239,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.460027,CORNER,true,0.478042,0.021997,1.000000,true,true,0.047136,0.046983,CORNER,41.578035,critical_distance
1783521776.636283,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.066780,CLEAR,false,0.058339,0.005276,1.000000,true,true,0.046456,0.047308,CORNER,38.013218,critical_distance
1783521776.636283,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.066780,CORNER,true,0.578087,0.021997,1.000000,true,true,0.046456,0.046107,CORNER,47.307613,critical_distance
1783521776.736240,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.166736,CLEAR,false,0.158296,0.005276,1.000000,true,true,0.046467,0.046365,CORNER,43.742797,critical_distance
1783521776.736240,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.166736,LEFT,true,0.082747,0.021997,1.000000,true,true,0.046467,0.047187,CORNER,53.037191,critical_distance
1783521776.836329,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.266826,CLEAR,false,0.258386,0.005276,1.000000,true,true,0.047530,0.047889,CORNER,49.472375,critical_distance
1783521776.836329,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.266826,LEFT,true,0.182836,0.021997,1.000000,true,true,0.047530,0.047372,CORNER,58.766770,critical_distance
1783521776.936248,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.366745,CLEAR,false,0.358304,0.005276,1.000000,true,true,0.047051,0.047488,CORNER,55.201953,critical_distance
1783521776.936248,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.366745,LEFT,true,0.282755,0.021997,1.000000,true,true,0.047051,0.046942,CORNER,64.496348,critical_distance
1783521777.036233,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.466730,CLEAR,false,0.458289,0.005276,1.000000,true,true,0.047458,0.048016,CORNER,60.931531,critical_distance
1783521777.036233,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.466730,LEFT,true,0.382740,0.021997,1.000000,true,true,0.047458,0.047194,CORNER,70.225926,critical_distance
1783521777.136230,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.064927,CLEAR,false,0.054775,0.005276,1.000000,true,true,0.047005,0.046907,CORNER,66.661109,critical_distance
1783521777.136230,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.064927,LEFT,true,0.079352,0.021997,1.000000,true,true,0.047005,0.047560,CORNER,75.955504,critical_distance
1783521777.236246,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.164943,CLEAR,false,0.154791,0.005276,1.000000,true,true,0.047192,0.047900,CORNER,72.390687,critical_distance
1783521777.236246,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.164943,LEFT,true,0.179368,0.021997,1.000000,true,true,0.047192,0.047692,CORNER,81.685082,critical_distance
