stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1783601117,505420828,robot_0,73,2.000,-2.000,2.500,-1.500
1783601117,505689742,robot_1,45,-1.000,0.000,-0.500,0.500
1783601117,505767355,robot_2,53,0.000,-2.000,0.500,-1.500
1783601117,505991418,robot_3,23,-3.000,-2.000,-2.500,-1.500
1783601117,506062035,robot_4,38,-2.000,3.000,-1.500,3.500
1783601120,580237147,robot_0,72,2.000,-3.000,2.500,-2.500
1783601121,880675535,robot_4,28,-3.000,3.000,-2.500,3.500
1783601122,99406959,robot_4,29,-3.000,4.000,-2.500,4.500
1783601123,380467861,robot_1,35,-2.000,0.000,-1.500,0.500
1783601126,184060363,robot_2,43,-1.000,-2.000,-0.500,-1.500
1783601126,619835883,robot_2,54,0.000,-1.000,0.500,-0.500
1783601127,480354819,robot_3,24,-3.000,-1.000,-2.500,-0.500
1783601128,779521699,robot_3,34,-2.000,-1.000,-1.500,-0.500
1783601129,840019509,robot_0,71,2.000,-4.000,2.500,-3.500
1783601131,119595109,robot_4,27,-3.000,2.000,-2.500,2.500
1783601131,979035632,robot_4,37,-2.000,2.000,-1.500,2.500
1783601132,180170079,robot_2,55,0.000,0.000,0.500,0.500
1783601135,160678988,robot_0,61,1.000,-4.000,1.500,-3.500
1783601136,419488292,robot_2,56,0.000,1.000,0.500,1.500
1783601138,119588063,robot_3,44,-1.000,-1.000,-0.500,-0.500
1783601138,759477828,robot_4,47,-1.000,2.000,-0.500,2.500
1783601140,420542425,robot_2,57,0.000,2.000,0.500,2.500
1783601140,840472682,robot_0,62,1.000,-3.000,1.500,-2.500
1783601145,740187123,robot_1,64,1.000,-1.000,1.500,-0.500
1783601146,978904743,robot_0,63,1.000,-2.000,1.500,-1.500
1783601149,940479317,robot_4,46,-1.000,1.000,-0.500,1.500
1783601157,319359973,robot_4,66,1.000,1.000,1.500,1.500
1783601159,660254324,robot_3,33,-2.000,-2.000,-1.500,-1.500
1783601165,360186303,robot_3,32,-2.000,-3.000,-1.500,-2.500
1783601171,299810685,robot_3,22,-3.000,-3.000,-2.500,-2.500
1783601174,659538447,robot_1,60,1.000,-5.000,1.500,-4.500
1783601175,500165588,robot_0,52,0.000,-3.000,0.500,-2.500
1783601176,800088137,robot_3,12,-4.000,-3.000,-3.500,-2.500
1783601177,568206,robot_4,67,1.000,2.000,1.500,2.500
1783601181,859593113,robot_2,36,-2.000,1.000,-1.500,1.500
1783601186,41804584,robot_4,76,2.000,1.000,2.500,1.500
1783601186,260052581,robot_4,77,2.000,2.000,2.500,2.500
1783601191,79783346,robot_4,78,2.000,3.000,2.500,3.500
1783601195,479027837,robot_0,65,1.000,0.000,1.500,0.500
1783601198,841675952,robot_4,79,2.000,4.000,2.500,4.500
1783601201,779385887,robot_2,18,-4.000,3.000,-3.500,3.500
1783601202,180472434,robot_2,17,-4.000,2.000,-3.500,2.500
1783601212,62292260,robot_4,88,3.000,3.000,3.500,3.500
1783601212,919644148,robot_2,7,-5.000,2.000,-4.500,2.500
1783601215,661272336,robot_4,87,3.000,2.000,3.500,2.500
1783601218,460919495,robot_3,21,-3.000,-4.000,-2.500,-3.500
1783601222,40798964,robot_3,20,-3.000,-5.000,-2.500,-4.500
1783601225,661311968,robot_4,97,4.000,2.000,4.500,2.500
1783601227,599644874,robot_3,30,-2.000,-5.000,-1.500,-4.500
1783601236,679604148,robot_3,31,-2.000,-4.000,-1.500,-3.500
1783601242,142088216,robot_4,86,3.000,1.000,3.500,1.500
1783601257,920161373,robot_4,68,1.000,3.000,1.500,3.500
1783601276,500161985,robot_0,13,-4.000,-2.000,-3.500,-1.500
1783601277,140018601,robot_2,16,-4.000,1.000,-3.500,1.500
1783601279,881629068,robot_4,69,1.000,4.000,1.500,4.500
1783601281,360601641,robot_2,15,-4.000,0.000,-3.500,0.500
1783601281,799572001,robot_0,2,-5.000,-3.000,-4.500,-2.500
1783601282,862610279,robot_2,5,-5.000,0.000,-4.500,0.500
1783601288,780942119,robot_2,14,-4.000,-1.000,-3.500,-0.500
1783601333,160074508,robot_2,3,-5.000,-2.000,-4.500,-1.500
1783601344,700362989,robot_2,4,-5.000,-1.000,-4.500,-0.500
1783601355,280305070,robot_2,6,-5.000,1.000,-4.500,1.500
1783601380,999173807,robot_0,82,3.000,-3.000,3.500,-2.500
1783601381,419171395,robot_0,83,3.000,-2.000,3.500,-1.500
1783601388,541013827,robot_2,39,-2.000,4.000,-1.500,4.500
