stamp_sec,stamp_nsec,robot,x,y
1783676456,514254783,robot_0,-3.250,3.500
1783676457,688288949,robot_0,-3.250,3.500
1783676457,903108054,robot_0,-3.249,3.500
1783676458,123059566,robot_0,-3.249,3.500
1783676458,323163102,robot_0,-3.241,3.501
1783676458,523486031,robot_0,-3.204,3.509
1783676458,742837161,robot_0,-3.165,3.520
1783676458,943173384,robot_0,-3.130,3.533
1783676459,163045922,robot_0,-3.093,3.551
1783676459,382334483,robot_0,-3.064,3.566
1783676459,582420252,robot_0,-3.041,3.581
1783676459,801964418,robot_0,-3.015,3.597
1783676460,2016681,robot_0,-2.987,3.614
1783676460,202421558,robot_0,-2.941,3.641
1783676460,422237822,robot_0,-2.888,3.668
1783676460,642019671,robot_0,-2.834,3.689
1783676460,842307424,robot_0,-2.784,3.704
1783676461,61994140,robot_0,-2.731,3.714
1783676461,262099240,robot_0,-2.683,3.717
1783676461,462361851,robot_0,-2.635,3.714
1783676461,662591007,robot_0,-2.588,3.704
1783676461,882145452,robot_0,-2.538,3.686
1783676462,102083715,robot_0,-2.492,3.661
1783676462,302136338,robot_0,-2.453,3.632
1783676462,521970114,robot_0,-2.417,3.597
1783676462,722391118,robot_0,-2.388,3.563
1783676462,942628206,robot_0,-2.360,3.522
1783676463,162422256,robot_0,-2.336,3.479
1783676463,382376055,robot_0,-2.315,3.433
1783676463,582394691,robot_0,-2.299,3.388
1783676463,802345998,robot_0,-2.280,3.339
1783676464,22210046,robot_0,-2.258,3.291
1783676464,222719550,robot_0,-2.234,3.250
1783676464,442823218,robot_0,-2.204,3.207
1783676464,662765456,robot_0,-2.170,3.167
1783676464,882264168,robot_0,-2.136,3.132
1783676465,101966373,robot_0,-2.103,3.101
1783676465,302394369,robot_0,-2.072,3.073
1783676465,502480040,robot_0,-2.045,3.048
1783676465,722258188,robot_0,-2.028,3.032
1783676465,922304175,robot_0,-2.012,3.017
1783676466,142255784,robot_0,-1.995,3.001
1783676466,342333129,robot_0,-1.959,2.968
1783676466,542408334,robot_0,-1.920,2.932
1783676466,742751142,robot_0,-1.881,2.896
1783676466,962280499,robot_0,-1.835,2.854
1783676467,163058096,robot_0,-1.792,2.814
1783676467,382372734,robot_0,-1.745,2.771
1783676467,602249041,robot_0,-1.695,2.724
1783676467,802535744,robot_0,-1.656,2.684
1783676468,22481365,robot_0,-1.619,2.638
1783676468,242572952,robot_0,-1.588,2.587
1783676468,462092242,robot_0,-1.563,2.533
1783676468,662670294,robot_0,-1.546,2.482
1783676468,882378274,robot_0,-1.532,2.421
1783676469,82388985,robot_0,-1.525,2.373
1783676469,302211081,robot_0,-1.522,2.349
1783676469,502446824,robot_0,-1.513,2.313
1783676469,702557630,robot_0,-1.501,2.281
1783676469,922433111,robot_0,-1.497,2.273
1783676470,122561134,robot_0,-1.474,2.242
1783676470,342246058,robot_0,-1.444,2.211
1783676470,542415698,robot_0,-1.408,2.183
1783676470,762170497,robot_0,-1.353,2.146
1783676470,982171583,robot_0,-1.298,2.111
1783676471,202031870,robot_0,-1.247,2.078
1783676471,402422073,robot_0,-1.229,2.067
1783676471,602949601,robot_0,-1.211,2.055
1783676471,822299178,robot_0,-1.184,2.038
1783676472,22440945,robot_0,-1.134,2.006
1783676472,222707337,robot_0,-1.084,1.973
1783676472,442613112,robot_0,-1.024,1.935
1783676472,662531212,robot_0,-0.960,1.894
1783676472,881997639,robot_0,-0.895,1.852
1783676473,82138690,robot_0,-0.853,1.825
1783676473,302069363,robot_0,-0.822,1.805
1783676473,502107282,robot_0,-0.793,1.787
1783676473,722146532,robot_0,-0.763,1.768
1783676473,942449137,robot_0,-0.736,1.749
1783676474,142494722,robot_0,-0.714,1.730
1783676474,361997703,robot_0,-0.692,1.705
1783676474,582071248,robot_0,-0.675,1.677
1783676474,782204544,robot_0,-0.660,1.643
1783676475,2001861,robot_0,-0.645,1.599
1783676475,202229622,robot_0,-0.631,1.559
1783676475,402451337,robot_0,-0.617,1.516
1783676475,622062047,robot_0,-0.599,1.460
1783676475,822267934,robot_0,-0.582,1.408
1783676476,42569004,robot_0,-0.563,1.351
1783676476,262429371,robot_0,-0.543,1.288
1783676476,462400368,robot_0,-0.524,1.230
1783676476,662493260,robot_0,-0.505,1.172
1783676476,882477710,robot_0,-0.495,1.141
1783676477,102003365,robot_0,-0.489,1.112
1783676477,303341734,robot_0,-0.488,1.084
1783676477,523324495,robot_0,-0.491,1.054
1783676477,742558780,robot_0,-0.500,1.025
1783676477,942569160,robot_0,-0.511,1.001
1783676478,162571540,robot_0,-0.537,0.964
1783676478,382331691,robot_0,-0.585,0.909
1783676478,582457126,robot_0,-0.630,0.859
1783676478,782930312,robot_0,-0.674,0.810
1783676479,2403961,robot_0,-0.710,0.771
1783676479,202789093,robot_0,-0.746,0.740
1783676479,402807952,robot_0,-0.786,0.713
1783676479,622551895,robot_0,-0.833,0.689
1783676479,842326324,robot_0,-0.883,0.672
1783676480,42605092,robot_0,-0.931,0.663
1783676480,262435619,robot_0,-0.984,0.660
1783676480,482658096,robot_0,-1.039,0.664
1783676480,702195898,robot_0,-1.093,0.676
1783676480,902656469,robot_0,-1.140,0.693
1783676481,122513583,robot_0,-1.189,0.718
1783676481,322708869,robot_0,-1.227,0.744
1783676481,542879245,robot_0,-1.254,0.770
1783676481,742926253,robot_0,-1.269,0.787
1783676481,943100118,robot_0,-1.269,0.787
1783676482,165312706,robot_0,-1.270,0.787
1783676482,383961320,robot_0,-1.270,0.787
1783676482,603206015,robot_0,-1.270,0.787
1783676482,822213647,robot_0,-1.270,0.787
1783676483,22247891,robot_0,-1.270,0.787
1783676483,222262876,robot_0,-1.270,0.787
1783676483,442644165,robot_0,-1.270,0.787
1783676483,662611162,robot_0,-1.270,0.787
1783676483,883145096,robot_0,-1.270,0.787
1783676484,102174772,robot_0,-1.270,0.787
1783676484,302181433,robot_0,-1.270,0.787
1783676484,502222672,robot_0,-1.270,0.787
1783676484,702514960,robot_0,-1.269,0.787
1783676484,922223094,robot_0,-1.269,0.787
1783676485,142839988,robot_0,-1.269,0.787
1783676485,361971946,robot_0,-1.269,0.787
1783676485,562196321,robot_0,-1.269,0.788
1783676485,762477917,robot_0,-1.269,0.788
1783676485,982306797,robot_0,-1.269,0.788
1783676486,202222939,robot_0,-1.269,0.787
1783676486,402413832,robot_0,-1.269,0.787
1783676486,622151150,robot_0,-1.269,0.787
1783676486,822253145,robot_0,-1.269,0.787
1783676487,22459705,robot_0,-1.269,0.787
1783676487,242572598,robot_0,-1.269,0.787
1783676487,442982150,robot_0,-1.270,0.787
1783676487,662635496,robot_0,-1.270,0.787
1783676487,882302236,robot_0,-1.275,0.808
1783676488,82331246,robot_0,-1.283,0.854
1783676488,302104648,robot_0,-1.285,0.878
1783676488,502167197,robot_0,-1.287,0.916
1783676488,702314868,robot_0,-1.288,0.949
1783676488,902414701,robot_0,-1.289,0.966
1783676489,122153546,robot_0,-1.291,0.992
1783676489,322248022,robot_0,-1.291,1.004
1783676489,542325636,robot_0,-1.293,1.042
1783676489,762364046,robot_0,-1.296,1.102
1783676489,981935704,robot_0,-1.299,1.163
1783676490,182123922,robot_0,-1.302,1.217
1783676490,382146786,robot_0,-1.304,1.266
1783676490,582241715,robot_0,-1.307,1.315
1783676490,801968932,robot_0,-1.309,1.364
1783676491,2091054,robot_0,-1.311,1.384
1783676491,202169457,robot_0,-1.314,1.404
1783676491,402525428,robot_0,-1.318,1.424
1783676491,621920762,robot_0,-1.324,1.445
1783676491,822230427,robot_0,-1.331,1.464
1783676492,23226631,robot_0,-1.340,1.482
1783676492,242836378,robot_0,-1.355,1.507
1783676492,443182485,robot_0,-1.376,1.539
1783676492,643351313,robot_0,-1.396,1.570
1783676492,862420496,robot_0,-1.419,1.604
1783676493,82428681,robot_0,-1.434,1.627
1783676493,302074854,robot_0,-1.452,1.648
1783676493,502159852,robot_0,-1.470,1.665
1783676493,702426360,robot_0,-1.491,1.679
1783676493,902725272,robot_0,-1.513,1.691
1783676494,103175346,robot_0,-1.535,1.701
1783676494,322420270,robot_0,-1.550,1.707
1783676494,522855678,robot_0,-1.576,1.718
1783676494,722869573,robot_0,-1.595,1.726
1783676494,923140549,robot_0,-1.615,1.735
1783676495,143127866,robot_0,-1.673,1.760
1783676495,363027673,robot_0,-1.718,1.779
1783676495,582683493,robot_0,-1.786,1.807
