wall_time,source,target,decision,skip_reason,warning_zone,distance_m,confidence,raw_detection,raw_message
1783680599.187377,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.232412,,global_pose,"bearing_deg=-97.275,zone_reason=side_sector"
1783680599.287407,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.210982,,global_pose,"bearing_deg=-96.837,zone_reason=side_sector"
1783680599.387326,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.191509,,global_pose,"bearing_deg=-97.088,zone_reason=side_sector"
1783680599.487316,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.172763,,global_pose,"bearing_deg=-97.464,zone_reason=side_sector"
1783680599.587333,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.154690,,global_pose,"bearing_deg=-97.895,zone_reason=side_sector"
1783680599.687379,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.136989,,global_pose,"bearing_deg=-98.211,zone_reason=side_sector"
1783680599.787376,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.118139,,global_pose,"bearing_deg=-97.993,zone_reason=side_sector"
1783680599.887376,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.101688,,global_pose,"bearing_deg=-98.516,zone_reason=side_sector"
1783680599.987407,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.086232,,global_pose,"bearing_deg=-99.170,zone_reason=side_sector"
1783680600.087335,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.071714,,global_pose,"bearing_deg=-99.881,zone_reason=side_sector"
1783680600.187344,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.057750,,global_pose,"bearing_deg=-100.469,zone_reason=side_sector"
1783680600.287395,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.042424,,global_pose,"bearing_deg=-100.489,zone_reason=side_sector"
1783680600.387427,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.030255,,global_pose,"bearing_deg=-101.289,zone_reason=side_sector"
1783680600.487325,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.019388,,global_pose,"bearing_deg=-102.217,zone_reason=side_sector"
1783680600.587324,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.009736,,global_pose,"bearing_deg=-103.195,zone_reason=side_sector"
1783680600.687326,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.000772,,global_pose,"bearing_deg=-104.033,zone_reason=side_sector"
1783680600.787428,robot_3,robot_4,sent,,RIGHT,0.990002,,global_pose,"bearing_deg=-104.271,zone_reason=side_sector"
1783680600.887419,robot_3,robot_4,sent,,RIGHT,0.986502,,global_pose,"bearing_deg=-104.757,zone_reason=side_sector"
1783680600.987367,robot_3,robot_4,sent,,RIGHT,0.984313,,global_pose,"bearing_deg=-105.690,zone_reason=side_sector"
1783680601.087369,robot_3,robot_4,sent,,RIGHT,0.982747,,global_pose,"bearing_deg=-106.760,zone_reason=side_sector"
