wall_time,robot,reasons,raw_zone,effective_zone,peer_warning_zone,peer_warning_age_s,front_distance_m,distance_age_s,cbf_safety_distance_m,cbf_alpha,requested_linear_x,requested_angular_z,filtered_linear_x,filtered_angular_z
1783687718.762437,robot_0,distance_cbf_cap,CLEAR,CLEAR,CLEAR,inf,0.730580,0.091099,0.600000,1.200000,0.280000,0.000000,0.156696,0.000000
1783687718.862539,robot_0,distance_cbf_cap,CLEAR,CLEAR,CLEAR,inf,0.730580,0.191180,0.600000,1.200000,0.280000,0.000000,0.156696,0.000000
1783687718.962572,robot_0,distance_cbf_cap,CLEAR,CLEAR,CLEAR,inf,0.730580,0.291184,0.600000,1.200000,0.280000,0.000000,0.156696,0.000000
1783687719.062667,robot_0,distance_cbf_cap,CLEAR,CLEAR,CLEAR,inf,0.730580,0.391289,0.600000,1.200000,0.280000,0.000000,0.156696,0.000000
1783687721.262439,robot_0,turn_left_blocked,LEFT,LEFT,CLEAR,inf,0.915540,0.093107,0.600000,1.200000,-0.080000,0.650000,-0.080000,0.000000
1783687721.662625,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,0.915540,0.493236,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687722.162432,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.007056,0.494012,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687723.062762,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.300614,0.400682,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687723.162632,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.300614,0.500591,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687723.662574,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.576250,0.424335,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687724.162581,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,2.959445,0.477172,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687724.662592,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,2.959561,0.409572,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687737.662425,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.012895,0.436856,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687738.162528,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.012624,0.468485,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687738.662433,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,1.199721,0.453125,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687739.162648,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,3.201139,0.486496,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687739.662455,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,inf,3.156562,0.464031,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
