stamp_sec,stamp_nsec,robot,x,y
1777623023,427790579,robot_2,-3.250,-1.750
1777623023,427822944,robot_3,-0.512,-3.750
1777623023,427838277,robot_0,1.097,4.078
1777623023,427851890,robot_4,0.181,0.441
1777623023,427866186,robot_1,-2.386,1.176
1777623023,628513742,robot_2,-3.250,-1.750
1777623023,628536329,robot_3,-0.512,-3.750
1777623023,628546733,robot_0,1.097,4.078
1777623023,628555049,robot_4,0.181,0.441
1777623023,628563367,robot_1,-2.386,1.176
1777623023,829536133,robot_2,-3.250,-1.750
1777623023,829560592,robot_3,-0.512,-3.750
1777623023,829570140,robot_0,1.097,4.078
1777623023,829577598,robot_4,0.181,0.441
1777623023,829584839,robot_1,-2.386,1.176
1777623024,247917402,robot_2,-3.250,-1.750
1777623024,247937053,robot_3,-0.512,-3.750
1777623024,247945059,robot_0,1.097,4.078
1777623024,247951438,robot_4,0.181,0.441
1777623024,247957495,robot_1,-2.386,1.176
1777623024,448162914,robot_2,-3.250,-1.750
1777623024,448184931,robot_3,-0.512,-3.750
1777623024,448193268,robot_0,1.097,4.078
1777623024,448200569,robot_4,0.181,0.441
1777623024,448207126,robot_1,-2.386,1.176
1777623024,649165612,robot_2,-3.250,-1.750
1777623024,649187749,robot_3,-0.512,-3.750
1777623024,649195689,robot_0,1.097,4.078
1777623024,649202316,robot_4,0.181,0.441
1777623024,649208977,robot_1,-2.386,1.176
1777623025,68105344,robot_2,-3.250,-1.750
1777623025,68123826,robot_3,-0.512,-3.750
1777623025,68131651,robot_0,1.097,4.078
1777623025,68138448,robot_4,0.181,0.441
1777623025,68144440,robot_1,-2.386,1.176
1777623025,688146373,robot_2,-3.250,-1.750
1777623025,688164636,robot_3,-0.512,-3.750
1777623025,688172711,robot_0,1.097,4.078
1777623025,688179183,robot_4,0.181,0.441
1777623025,688185424,robot_1,-2.386,1.176
1777623026,108289727,robot_2,-3.250,-1.750
1777623026,108320231,robot_3,-0.512,-3.750
1777623026,108334792,robot_0,1.097,4.078
1777623026,108347177,robot_4,0.181,0.441
1777623026,108358670,robot_1,-2.386,1.176
1777623026,309163596,robot_2,-3.250,-1.750
1777623026,309182420,robot_3,-0.512,-3.750
1777623026,309189831,robot_0,1.097,4.078
1777623026,309195597,robot_4,0.181,0.441
1777623026,309200942,robot_1,-2.386,1.176
1777623026,728005099,robot_2,-3.250,-1.750
1777623026,728025362,robot_3,-0.512,-3.750
1777623026,728034669,robot_0,1.097,4.078
1777623026,728042248,robot_4,0.181,0.441
1777623026,728049013,robot_1,-2.386,1.176
1777623026,928645529,robot_2,-3.250,-1.750
1777623026,928667843,robot_3,-0.512,-3.750
1777623026,928677086,robot_0,1.097,4.078
1777623026,928684292,robot_4,0.181,0.441
