stamp_sec,stamp_nsec,robot,x,y
1777620672,626075338,robot_2,-3.250,-1.750
1777620672,626140374,robot_3,1.250,-0.250
1777620672,626170526,robot_4,-1.750,1.250
1777620672,626196546,robot_0,3.500,-3.250
1777620672,626221853,robot_1,-0.250,3.500
1777620672,842898429,robot_2,-3.250,-1.750
1777620672,842915544,robot_3,1.250,-0.250
1777620672,842922330,robot_4,-1.750,1.250
1777620672,842928056,robot_0,3.500,-3.250
1777620672,842933755,robot_1,-0.250,3.500
1777620673,43480534,robot_2,-3.250,-1.750
1777620673,43507811,robot_3,1.250,-0.250
1777620673,43521407,robot_4,-1.750,1.250
1777620673,43532964,robot_0,3.500,-3.250
1777620673,43551619,robot_1,-0.250,3.500
1777620673,244821791,robot_2,-3.250,-1.750
1777620673,244849568,robot_3,1.250,-0.250
1777620673,244861040,robot_4,-1.750,1.250
1777620673,244870252,robot_0,3.500,-3.250
1777620673,244879015,robot_1,-0.250,3.500
1777620673,462518563,robot_2,-3.250,-1.750
1777620673,462535781,robot_3,1.250,-0.250
1777620673,462542930,robot_4,-1.750,1.250
1777620673,462548684,robot_0,3.500,-3.250
1777620673,462554417,robot_1,-0.250,3.500
1777620673,663674215,robot_2,-3.250,-1.750
1777620673,663695364,robot_3,1.250,-0.250
1777620673,663702501,robot_4,-1.750,1.250
1777620673,663708157,robot_0,3.500,-3.250
1777620673,663713747,robot_1,-0.250,3.500
1777620673,864109078,robot_2,-3.250,-1.750
1777620673,864130016,robot_3,1.250,-0.250
1777620673,864137574,robot_4,-1.750,1.250
1777620673,864143634,robot_0,3.500,-3.250
1777620673,864149417,robot_1,-0.250,3.500
1777620674,483469221,robot_2,-3.250,-1.750
1777620674,483497822,robot_3,1.250,-0.250
1777620674,483511423,robot_4,-1.750,1.250
1777620674,483521720,robot_0,3.500,-3.250
1777620674,483531650,robot_1,-0.250,3.500
1777620674,903032015,robot_2,-3.250,-1.750
1777620674,903052539,robot_3,1.250,-0.250
1777620674,903059372,robot_4,-1.750,1.250
1777620674,903064904,robot_0,3.500,-3.250
1777620674,903070203,robot_1,-0.250,3.500
1777620675,104132170,robot_2,-3.250,-1.750
1777620675,104149326,robot_3,1.250,-0.250
1777620675,104156235,robot_4,-1.750,1.250
1777620675,104161394,robot_0,3.500,-3.250
1777620675,104166338,robot_1,-0.250,3.500
1777620675,305424561,robot_2,-3.250,-1.750
1777620675,305452323,robot_3,1.250,-0.250
1777620675,305460489,robot_4,-1.750,1.250
1777620675,305467191,robot_0,3.500,-3.250
1777620675,305473566,robot_1,-0.250,3.500
1777620676,123116168,robot_2,-3.250,-1.750
1777620676,123135740,robot_3,1.250,-0.250
1777620676,123142421,robot_4,-1.750,1.250
1777620676,123147947,robot_0,3.500,-3.250
1777620676,123153326,robot_1,-0.250,3.500
1777620676,542045568,robot_2,-3.250,-1.750
1777620676,542064072,robot_3,1.250,-0.250
1777620676,542070960,robot_4,-1.750,1.250
1777620676,542076819,robot_0,3.500,-3.250
1777620676,542082622,robot_1,-0.250,3.500
1777620676,742890940,robot_2,-3.250,-1.750
1777620676,742914910,robot_3,1.250,-0.250
1777620676,742925456,robot_4,-1.750,1.250
1777620676,742933235,robot_0,3.500,-3.250
1777620676,742941357,robot_1,-0.250,3.500
1777620676,943808963,robot_2,-3.250,-1.750
1777620676,943827114,robot_3,1.250,-0.250
1777620676,943834380,robot_4,-1.750,1.250
1777620676,943839858,robot_0,3.500,-3.250
1777620676,943845452,robot_1,-0.250,3.500
1777620677,563537411,robot_2,-3.250,-1.750
1777620677,563568317,robot_3,1.250,-0.250
1777620677,563585181,robot_4,-1.750,1.250
1777620677,563598499,robot_0,3.500,-3.250
1777620677,563611080,robot_1,-0.250,3.500
1777620678,182910484,robot_2,-3.250,-1.750
1777620678,182930275,robot_3,1.250,-0.250
1777620678,182938793,robot_4,-1.750,1.250
1777620678,182945488,robot_0,3.500,-3.250
1777620678,182952246,robot_1,-0.250,3.500
1777620678,383504093,robot_2,-3.250,-1.750
1777620678,383522509,robot_3,1.250,-0.250
1777620678,383529582,robot_4,-1.750,1.250
1777620678,383534752,robot_0,3.500,-3.250
1777620678,383540069,robot_1,-0.250,3.500
1777620678,585264927,robot_2,-3.250,-1.750
1777620678,585307066,robot_3,1.250,-0.250
1777620678,585325968,robot_4,-1.750,1.250
1777620678,585340908,robot_0,3.500,-3.250
1777620678,585355937,robot_1,-0.250,3.500
1777620679,3531925,robot_2,-3.250,-1.750
1777620679,3567374,robot_3,1.250,-0.250
1777620679,3585328,robot_4,-1.750,1.250
1777620679,3598353,robot_0,3.500,-3.250
1777620679,3610268,robot_1,-0.250,3.500
1777620679,423714791,robot_2,-3.250,-1.750
1777620679,423738371,robot_3,1.250,-0.250
1777620679,423748505,robot_4,-1.750,1.250
1777620679,423756695,robot_0,3.500,-3.250
1777620679,423764448,robot_1,-0.250,3.500
1777620680,42907963,robot_2,-3.250,-1.750
1777620680,42930182,robot_3,1.250,-0.250
1777620680,42942486,robot_4,-1.750,1.250
1777620680,42951161,robot_0,3.500,-3.250
1777620680,42960034,robot_1,-0.250,3.500
1777620680,862550973,robot_2,-3.250,-1.750
1777620680,862570452,robot_3,1.250,-0.250
1777620680,862577163,robot_4,-1.750,1.250
1777620680,862582996,robot_0,3.500,-3.250
1777620680,862588551,robot_1,-0.250,3.500
1777620681,63154026,robot_2,-3.250,-1.750
1777620681,63174261,robot_3,1.250,-0.250
1777620681,63181583,robot_4,-1.750,1.250
1777620681,63187398,robot_0,3.500,-3.250
1777620681,63193630,robot_1,-0.250,3.500
1777620681,264194980,robot_2,-3.250,-1.750
1777620681,264233138,robot_3,1.250,-0.250
1777620681,264249660,robot_4,-1.750,1.250
1777620681,264263449,robot_0,3.500,-3.250
1777620681,264276663,robot_1,-0.250,3.500
1777620681,882792356,robot_2,-3.250,-1.750
1777620681,882813020,robot_3,1.250,-0.250
1777620681,882819927,robot_4,-1.750,1.250
1777620681,882825572,robot_0,3.500,-3.250
1777620681,882830831,robot_1,-0.250,3.500
1777620682,503284905,robot_2,-3.250,-1.750
1777620682,503319538,robot_3,1.250,-0.250
1777620682,503335743,robot_4,-1.750,1.250
1777620682,503349379,robot_0,3.500,-3.250
1777620682,503362699,robot_1,-0.250,3.500
1777620682,922924462,robot_2,-3.250,-1.750
1777620682,922948786,robot_3,1.250,-0.250
1777620682,922959404,robot_4,-1.750,1.250
1777620682,922967398,robot_0,3.500,-3.250
1777620682,922975152,robot_1,-0.250,3.500
1777620683,542411402,robot_2,-3.250,-1.750
1777620683,542430551,robot_3,1.250,-0.250
1777620683,542438194,robot_4,-1.750,1.250
1777620683,542444084,robot_0,3.500,-3.250
1777620683,542450023,robot_1,-0.250,3.500
1777620684,563717837,robot_2,-3.250,-1.750
1777620684,563751124,robot_3,1.250,-0.250
1777620684,563766317,robot_4,-1.750,1.250
1777620684,563779360,robot_0,3.500,-3.250
1777620684,563790993,robot_1,-0.250,3.500
1777620684,983529557,robot_2,-3.250,-1.750
1777620684,983547556,robot_3,1.250,-0.250
1777620684,983554421,robot_4,-1.750,1.250
1777620684,983559943,robot_0,3.500,-3.250
1777620684,983565603,robot_1,-0.250,3.500
1777620685,604475192,robot_2,-3.250,-1.750
1777620685,604502269,robot_3,1.250,-0.250
1777620685,604513597,robot_4,-1.750,1.250
1777620685,604523296,robot_0,3.500,-3.250
1777620685,604532113,robot_1,-0.250,3.500
1777620686,24130982,robot_2,-3.250,-1.750
1777620686,24160075,robot_3,1.250,-0.250
1777620686,24173339,robot_4,-1.750,1.250
1777620686,24183391,robot_0,3.500,-3.250
1777620686,24193375,robot_1,-0.250,3.500
1777620686,642858456,robot_2,-3.250,-1.750
1777620686,642877827,robot_3,1.250,-0.250
1777620686,642885779,robot_4,-1.750,1.250
1777620686,642891618,robot_0,3.500,-3.250
1777620686,642897550,robot_1,-0.250,3.500
1777620687,262775890,robot_2,-3.250,-1.750
1777620687,262796754,robot_3,1.250,-0.250
1777620687,262804853,robot_4,-1.750,1.250
1777620687,262811763,robot_0,3.500,-3.250
1777620687,262818057,robot_1,-0.250,3.500
1777620687,683663646,robot_2,-3.250,-1.750
1777620687,683681240,robot_3,1.250,-0.250
1777620687,683687914,robot_4,-1.750,1.250
1777620687,683693278,robot_0,3.500,-3.250
1777620687,683698755,robot_1,-0.250,3.500
1777620688,104547322,robot_2,-3.250,-1.750
1777620688,104571133,robot_3,1.250,-0.250
1777620688,104581674,robot_4,-1.750,1.250
1777620688,104589326,robot_0,3.500,-3.250
1777620688,104596748,robot_1,-0.250,3.500
1777620688,522995470,robot_2,-3.250,-1.750
1777620688,523015893,robot_3,1.250,-0.250
1777620688,523024154,robot_4,-1.750,1.250
1777620688,523030674,robot_0,3.500,-3.250
1777620688,523037071,robot_1,-0.250,3.500
1777620688,723651084,robot_2,-3.250,-1.750
1777620688,723670713,robot_3,1.250,-0.250
1777620688,723679062,robot_4,-1.750,1.250
1777620688,723686099,robot_0,3.500,-3.250
1777620688,723692146,robot_1,-0.250,3.500
1777620689,143001197,robot_2,-3.250,-1.750
1777620689,143026036,robot_3,1.250,-0.250
1777620689,143036593,robot_4,-1.750,1.250
1777620689,143045361,robot_0,3.500,-3.250
1777620689,143053832,robot_1,-0.250,3.500
1777620689,762707066,robot_2,-3.250,-1.750
1777620689,762728243,robot_3,1.250,-0.250
1777620689,762735352,robot_4,-1.750,1.250
1777620689,762747200,robot_0,3.500,-3.250
1777620689,762752935,robot_1,-0.250,3.500
1777620689,963592298,robot_2,-3.250,-1.750
1777620689,963611324,robot_3,1.250,-0.250
1777620689,963619086,robot_4,-1.750,1.250
1777620689,963624580,robot_0,3.500,-3.250
1777620689,963629835,robot_1,-0.250,3.500
1777620690,582793907,robot_2,-3.250,-1.750
1777620690,582812522,robot_3,1.250,-0.250
1777620690,582819900,robot_4,-1.750,1.250
1777620690,582825536,robot_0,3.500,-3.250
1777620690,582831195,robot_1,-0.250,3.500
1777620690,783085409,robot_2,-3.250,-1.750
