stamp_sec,stamp_nsec,robot,x,y
1773829688,706450535,robot_2,0.618,1.902
1773829688,706485990,robot_3,-0.618,1.902
1773829688,706500501,robot_6,-1.618,-1.176
1773829688,706514076,robot_0,2.000,-0.000
1773829688,706527409,robot_7,-0.618,-1.902
1773829688,706539289,robot_9,1.618,-1.176
1773829688,706551815,robot_4,-1.618,1.176
1773829688,706564295,robot_1,1.618,1.176
1773829688,706575872,robot_8,0.618,-1.902
1773829688,706587958,robot_5,-2.000,0.000
1773829690,59593758,robot_2,0.618,1.902
1773829690,59614653,robot_3,-0.618,1.902
1773829690,59622173,robot_6,-1.618,-1.176
1773829690,59627818,robot_0,2.000,-0.000
1773829690,59634112,robot_7,-0.618,-1.902
1773829690,59639532,robot_9,1.618,-1.176
1773829690,59644886,robot_4,-1.618,1.176
1773829690,59650563,robot_1,1.618,1.176
1773829690,59655824,robot_8,0.618,-1.902
1773829690,59661312,robot_5,-2.000,0.000
1773829690,278953816,robot_2,0.618,1.902
1773829690,278975023,robot_3,-0.618,1.902
1773829690,278982811,robot_6,-1.618,-1.176
1773829690,278988295,robot_0,2.000,-0.000
1773829690,279002900,robot_7,-0.618,-1.902
1773829690,279008489,robot_9,1.618,-1.176
1773829690,279013861,robot_4,-1.618,1.176
1773829690,279019496,robot_1,1.618,1.176
1773829690,279024875,robot_8,0.618,-1.902
1773829690,279030569,robot_5,-2.000,0.000
1773829690,496923748,robot_2,0.618,1.902
1773829690,496939987,robot_3,-0.618,1.902
1773829690,496946781,robot_6,-1.618,-1.176
1773829690,496952329,robot_0,2.000,-0.000
1773829690,496958982,robot_7,-0.618,-1.902
1773829690,496964689,robot_9,1.618,-1.176
1773829690,496970560,robot_4,-1.618,1.176
1773829690,496979634,robot_1,1.618,1.176
1773829690,496985134,robot_8,0.618,-1.902
1773829690,496990338,robot_5,-2.000,0.000
1773829690,697652319,robot_2,0.618,1.902
1773829690,697672958,robot_3,-0.618,1.902
1773829690,697679796,robot_6,-1.618,-1.176
1773829690,697685461,robot_0,2.000,-0.000
1773829690,697691238,robot_7,-0.618,-1.902
1773829690,697697008,robot_9,1.618,-1.176
1773829690,697701844,robot_4,-1.618,1.176
1773829690,697707082,robot_1,1.618,1.176
1773829690,697712176,robot_8,0.618,-1.902
1773829690,697717207,robot_5,-2.000,0.000
1773829690,917849739,robot_2,0.618,1.902
1773829690,917868366,robot_3,-0.618,1.902
1773829690,917875843,robot_6,-1.618,-1.176
1773829690,917881615,robot_0,2.000,-0.000
1773829690,917887496,robot_7,-0.618,-1.902
1773829690,917893134,robot_9,1.618,-1.176
1773829690,917898524,robot_4,-1.618,1.176
1773829690,917904040,robot_1,1.618,1.176
1773829690,917909768,robot_8,0.618,-1.902
1773829690,917915102,robot_5,-2.000,0.000
1773829691,118131001,robot_2,0.618,1.902
1773829691,118152287,robot_3,-0.618,1.902
1773829691,118159418,robot_6,-1.618,-1.176
1773829691,118165171,robot_0,2.000,-0.000
1773829691,118171442,robot_7,-0.618,-1.902
1773829691,118177241,robot_9,1.618,-1.176
1773829691,118182489,robot_4,-1.618,1.176
1773829691,118188115,robot_1,1.618,1.176
1773829691,118193151,robot_8,0.618,-1.902
1773829691,118198328,robot_5,-2.000,0.000
1773829691,337455218,robot_2,0.618,1.902
1773829691,337473640,robot_3,-0.618,1.902
1773829691,337480220,robot_6,-1.618,-1.176
1773829691,337486421,robot_0,2.000,-0.000
1773829691,337493073,robot_7,-0.618,-1.902
1773829691,337498606,robot_9,1.618,-1.176
1773829691,337503657,robot_4,-1.618,1.176
1773829691,337509142,robot_1,1.618,1.176
1773829691,337513980,robot_8,0.618,-1.902
1773829691,337525405,robot_5,-2.000,0.000
1773829691,539802240,robot_2,0.618,1.902
1773829691,539829342,robot_3,-0.618,1.902
1773829691,539837829,robot_6,-1.618,-1.176
1773829691,539844450,robot_0,2.000,-0.000
1773829691,539852031,robot_7,-0.618,-1.902
1773829691,539858669,robot_9,1.618,-1.176
1773829691,539865041,robot_4,-1.618,1.176
1773829691,539873006,robot_1,1.618,1.176
1773829691,539879492,robot_8,0.618,-1.902
1773829691,539886036,robot_5,-2.000,0.000
1773829691,757130072,robot_2,0.618,1.902
1773829691,757148987,robot_3,-0.618,1.902
1773829691,757155851,robot_6,-1.618,-1.176
1773829691,757161474,robot_0,2.000,-0.000
1773829691,757167706,robot_7,-0.618,-1.902
1773829691,757173257,robot_9,1.618,-1.176
1773829691,757178276,robot_4,-1.618,1.176
1773829691,757183769,robot_1,1.618,1.176
1773829691,757188608,robot_8,0.618,-1.902
1773829691,757193811,robot_5,-2.000,0.000
1773829691,977111478,robot_2,0.618,1.902
1773829691,977132002,robot_3,-0.618,1.902
1773829691,977138936,robot_6,-1.618,-1.176
