stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1774023251,981630473,robot_0,132,2.000,-1.000,2.500,-0.500
1774023251,981646297,robot_1,62,-3.000,-1.000,-2.500,-0.500
1774023253,272184222,robot_1,63,-3.000,0.000,-2.500,0.500
1774023259,254693918,robot_1,49,-4.000,0.000,-3.500,0.500
1774023262,149134626,robot_0,131,2.000,-2.000,2.500,-1.500
1774023268,545953687,robot_1,35,-5.000,0.000,-4.500,0.500
1774023269,775279770,robot_0,130,2.000,-3.000,2.500,-2.500
1774023277,872185132,robot_0,129,2.000,-4.000,2.500,-3.500
1774023285,526528650,robot_0,128,2.000,-5.000,2.500,-4.500
1774023294,457065253,robot_0,127,2.000,-6.000,2.500,-5.500
1774023299,442175368,robot_0,113,1.000,-6.000,1.500,-5.500
