time_s,coverage_pct
0.671,0.000
1.171,0.000
1.671,0.000
2.171,0.000
2.671,1.020
3.171,1.020
3.671,1.020
4.171,1.531
4.671,1.531
5.171,1.531
5.671,1.531
6.171,1.531
6.671,1.531
7.171,2.041
7.671,2.041
8.171,2.041
8.675,2.551
9.171,2.551
9.671,2.551
10.171,2.551
10.671,2.551
11.171,2.551
11.671,2.551
12.171,2.551
12.671,2.551
13.171,2.551
13.671,2.551
14.171,2.551
14.671,2.551
15.171,3.061
15.671,3.061
16.171,3.061
16.671,3.061
17.171,3.061
17.671,3.061
18.171,3.571
18.671,3.571
19.171,3.571
19.672,3.571
20.171,4.082
20.341,4.082
