time_s,collisions_total,collisions_robot,collisions_obstacle
0.000,0,0,0
23.622,1,1,0
23.622,2,2,0
23.937,3,3,0
23.937,4,4,0
25.498,5,5,0
25.499,6,6,0
27.458,7,7,0
27.459,8,8,0
32.062,9,9,0
32.062,10,10,0
32.628,11,11,0
32.628,12,12,0
34.433,13,13,0
34.434,14,14,0
34.470,15,15,0
34.470,16,16,0
35.452,17,17,0
35.452,18,18,0
35.899,19,19,0
37.405,20,20,0
37.405,21,21,0
39.904,22,22,0
39.905,23,23,0
39.995,24,24,0
39.996,25,25,0
40.991,26,26,0
40.992,27,27,0
41.995,28,27,1
42.010,29,28,1
42.011,30,29,1
44.409,31,30,1
44.409,32,31,1
44.508,33,31,2
45.486,34,31,3
59.554,35,32,3
59.554,36,33,3
61.566,37,34,3
61.567,38,35,3
62.973,39,36,3
62.973,40,37,3
72.988,41,38,3
72.988,42,39,3
73.685,43,40,3
74.992,44,41,3
74.992,45,42,3
77.970,46,43,3
77.970,47,44,3
82.512,48,45,3
82.512,49,46,3
93.020,50,47,3
93.020,51,48,3
150.018,52,49,3
150.018,53,50,3
163.057,54,51,3
163.057,55,52,3
167.685,56,53,3
167.686,57,54,3
182.582,58,55,3
182.582,59,56,3
193.005,60,57,3
193.005,61,58,3
213.503,62,59,3
213.503,63,60,3
218.533,64,61,3
218.533,65,62,3
241.528,66,63,3
241.529,67,64,3
253.574,68,65,3
253.575,69,66,3
254.687,70,66,4
263.547,71,66,5
268.079,72,66,6
272.104,73,66,7
282.614,74,67,7
282.614,75,68,7
287.098,76,69,7
287.098,77,70,7
314.520,78,71,7
314.520,79,72,7
316.056,80,72,8
319.088,81,73,8
319.088,82,74,8
322.523,83,75,8
322.523,84,76,8
323.027,85,77,8
323.027,86,78,8
324.057,87,79,8
324.057,88,80,8
325.521,89,80,9
329.050,90,81,9
329.050,91,82,9
329.051,92,83,9
329.051,93,84,9
332.051,94,85,9
332.052,95,86,9
333.181,96,87,9
333.187,97,88,9
333.526,98,89,9
333.527,99,90,9
335.129,100,91,9
335.129,101,92,9
335.530,102,93,9
335.530,103,94,9
336.508,104,95,9
336.508,105,96,9
337.112,106,97,9
337.113,107,98,9
338.504,108,99,9
338.504,109,100,9
339.506,110,101,9
342.001,111,102,9
342.001,112,103,9
343.506,113,104,9
343.506,114,105,9
345.623,115,106,9
345.624,116,107,9
347.003,117,108,9
347.003,118,109,9
353.104,119,110,9
353.105,120,111,9
357.527,121,112,9
357.527,122,113,9
360.054,123,114,9
360.054,124,115,9
362.554,125,116,9
362.555,126,117,9
367.085,127,118,9
367.085,128,119,9
369.140,129,120,9
369.140,130,121,9
370.183,131,122,9
370.183,132,123,9
373.055,133,124,9
373.055,134,125,9
375.569,135,126,9
375.569,136,127,9
378.575,137,127,10
385.089,138,127,11
386.127,139,127,12
388.574,140,127,13
394.062,141,127,14
395.541,142,127,15
417.559,143,127,16
418.068,144,127,17
426.186,145,127,18
428.577,146,127,19
428.604,147,127,20
430.108,148,127,21
430.535,149,127,22
432.044,150,127,23
449.107,151,128,23
449.108,152,129,23
459.039,153,130,23
459.039,154,131,23
462.563,155,132,23
462.563,156,133,23
467.052,157,133,24
468.071,158,133,25
481.619,159,134,25
481.619,160,135,25
483.123,161,136,25
483.123,162,137,25
484.708,163,138,25
484.714,164,139,25
486.198,165,140,25
486.205,166,141,25
488.587,167,142,25
488.587,168,143,25
491.081,169,144,25
491.082,170,145,25
498.101,171,146,25
498.102,172,147,25
499.919,173,148,25
499.920,174,149,25
