time_s,collisions
0.000,0
16.596,1
16.597,2
37.687,3
37.688,4
47.441,5
47.441,6
48.196,7
48.197,8
53.243,9
53.244,10
56.192,11
56.193,12
57.735,13
57.735,14
61.197,15
61.198,16
61.743,17
61.744,18
64.709,19
64.710,20
65.699,21
65.700,22
70.196,23
70.197,24
126.147,25
126.147,26
135.195,27
135.196,28
142.679,29
142.680,30
151.689,31
151.689,32
158.193,33
158.194,34
160.241,35
160.242,36
170.772,37
170.773,38
186.732,39
186.733,40
194.709,41
194.710,42
197.510,43
197.511,44
198.986,45
198.986,46
200.511,47
200.511,48
201.172,49
201.173,50
201.986,51
201.986,52
208.493,53
208.493,54
211.010,55
214.479,56
214.480,57
214.481,58
214.485,59
220.685,60
220.685,61
229.893,62
229.893,63
230.426,64
230.427,65
253.613,66
253.614,67
260.676,68
260.677,69
263.362,70
263.363,71
278.917,72
278.918,73
288.613,74
288.614,75
290.688,76
290.690,77
295.264,78
295.264,79
300.855,80
300.857,81
310.671,82
310.672,83
312.178,84
312.178,85
312.691,86
312.692,87
316.751,88
316.752,89
327.852,90
327.853,91
343.564,92
343.565,93
344.115,94
349.574,95
359.131,96
359.132,97
359.133,98
359.133,99
389.791,100
389.792,101
399.866,102
399.867,103
410.468,104
410.469,105
414.009,106
414.010,107
416.000,108
416.001,109
432.520,110
432.520,111
438.739,112
438.740,113
442.925,114
442.926,115
460.613,116
460.614,117
462.832,118
462.832,119
466.030,120
472.524,121
472.524,122
477.338,123
477.339,124
480.544,125
480.545,126
482.689,127
482.690,128
496.210,129
496.211,130
499.692,131
499.693,132
