time_s,collisions_total,collisions_robot,collisions_obstacle
0.000,0,0,0
24.682,1,1,0
24.683,2,2,0
27.474,3,3,0
27.474,4,4,0
31.066,5,5,0
31.067,6,6,0
35.173,7,7,0
35.173,8,8,0
40.025,9,9,0
40.025,10,10,0
43.479,11,11,0
43.479,12,12,0
48.430,13,13,0
48.430,14,14,0
52.161,15,15,0
52.161,16,16,0
56.490,17,16,1
61.949,18,16,2
66.476,19,17,2
66.476,20,18,2
67.092,21,19,2
67.092,22,20,2
85.694,23,21,2
85.694,24,22,2
100.958,25,22,3
102.495,26,23,3
102.495,27,24,3
117.136,28,25,3
117.136,29,26,3
122.065,30,27,3
122.066,31,28,3
125.128,32,29,3
125.128,33,30,3
130.475,34,31,3
130.475,35,32,3
142.529,36,33,3
142.529,37,34,3
143.497,38,35,3
143.497,39,36,3
146.497,40,37,3
146.497,41,38,3
156.188,42,38,4
159.146,43,38,5
165.021,44,38,6
167.133,45,38,7
170.025,46,38,8
173.664,47,39,8
173.664,48,40,8
185.010,49,40,9
187.007,50,40,10
209.047,51,40,11
210.998,52,40,12
216.533,53,41,12
216.533,54,42,12
219.681,55,43,12
221.503,56,43,13
223.645,57,43,14
228.062,58,44,14
228.067,59,45,14
250.028,60,46,14
250.028,61,47,14
251.980,62,48,14
251.980,63,49,14
255.054,64,50,14
255.054,65,51,14
266.541,66,52,14
266.542,67,53,14
296.209,68,54,14
296.210,69,55,14
302.563,70,56,14
302.563,71,57,14
319.171,72,58,14
319.172,73,59,14
328.626,74,59,15
338.035,75,60,15
338.036,76,61,15
351.110,77,62,15
351.111,78,63,15
354.040,79,64,15
354.040,80,65,15
354.040,81,66,15
354.046,82,67,15
361.542,83,67,16
367.589,84,68,16
367.589,85,69,16
367.668,86,70,16
367.669,87,71,16
368.569,88,72,16
368.569,89,73,16
369.069,90,74,16
369.069,91,75,16
369.509,92,76,16
369.509,93,77,16
371.202,94,78,16
371.203,95,79,16
372.078,96,80,16
372.079,97,81,16
373.205,98,82,16
373.206,99,83,16
374.581,100,84,16
374.581,101,85,16
375.048,102,86,16
375.048,103,87,16
376.123,104,88,16
376.124,105,89,16
377.678,106,90,16
377.678,107,91,16
380.564,108,92,16
380.565,109,93,16
381.538,110,94,16
381.538,111,95,16
382.584,112,96,16
382.584,113,97,16
382.584,114,98,16
383.547,115,99,16
383.547,116,100,16
396.034,117,101,16
396.035,118,102,16
401.037,119,103,16
401.037,120,104,16
404.205,121,105,16
404.205,122,106,16
405.068,123,106,17
405.557,124,107,17
405.557,125,108,17
406.061,126,108,18
406.123,127,109,18
406.123,128,110,18
406.681,129,111,18
406.681,130,112,18
408.077,131,112,19
409.533,132,112,20
410.606,133,113,20
410.606,134,114,20
412.546,135,115,20
412.546,136,116,20
412.547,137,116,21
420.053,138,116,22
481.035,139,116,23
482.652,140,116,24
483.083,141,116,25
486.101,142,116,26
487.687,143,116,27
491.643,144,116,28
495.126,145,116,29
498.609,146,116,30
