time_s,collisions_total,collisions_robot,collisions_obstacle
0.000,0,0,0
17.894,1,1,0
17.894,2,2,0
19.443,3,2,1
19.927,4,3,1
19.927,5,4,1
27.391,6,5,1
27.391,7,6,1
28.863,8,6,2
29.365,9,7,2
29.365,10,8,2
30.612,11,9,2
30.612,12,10,2
43.141,13,11,2
43.143,14,12,2
44.581,15,13,2
44.581,16,14,2
140.962,17,15,2
140.962,18,16,2
142.110,19,17,2
142.111,20,18,2
143.938,21,19,2
143.938,22,20,2
145.506,23,21,2
145.506,24,22,2
177.541,25,23,2
177.542,26,24,2
305.538,27,24,3
306.018,28,24,4
311.512,29,24,5
312.495,30,24,6
312.627,31,24,7
313.466,32,24,8
313.467,33,24,9
315.576,34,24,10
318.116,35,24,11
319.087,36,24,12
320.444,37,24,13
322.495,38,24,14
416.075,39,24,15
418.580,40,24,16
421.024,41,24,17
425.522,42,24,18
461.056,43,25,18
461.056,44,26,18
466.565,45,27,18
466.565,46,28,18
468.568,47,28,19
471.573,48,29,19
471.573,49,30,19
473.514,50,31,19
473.515,51,32,19
480.543,52,33,19
480.544,53,34,19
482.499,54,35,19
488.009,55,35,20
488.966,56,35,21
