stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
21,250000000,global,1,1,0,robot,"('robot_0', 'robot_9')",robot_0,robot_9,2.358079,-3.536866,0.147449,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
36,690000000,global,2,2,0,robot,"('robot_3', 'robot_5')",robot_3,robot_5,-0.001182,1.844322,0.149047,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
38,420000000,global,3,3,0,robot,"('robot_4', 'robot_7')",robot_4,robot_7,-4.036006,1.452986,0.024218,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
39,210000000,global,4,4,0,robot,"('robot_3', 'robot_5')",robot_3,robot_5,0.099105,2.074998,0.148058,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
42,610000000,global,5,5,0,robot,"('robot_3', 'robot_5')",robot_3,robot_5,0.143569,2.408868,0.148193,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
53,70000000,global,6,6,0,robot,"('robot_0', 'robot_1')",robot_0,robot_1,4.847141,-1.556482,0.147427,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
59,210000000,global,7,7,0,robot,"('robot_0', 'robot_1')",robot_0,robot_1,4.629339,-1.001813,0.147957,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
61,430000000,global,8,8,0,robot,"('robot_0', 'robot_1')",robot_0,robot_1,4.619799,-0.990364,0.147657,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
91,390000000,global,9,9,0,robot,"('robot_0', 'robot_2')",robot_0,robot_2,5.468827,0.868029,0.148034,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
99,210000000,global,10,10,0,robot,"('robot_0', 'robot_2')",robot_0,robot_2,5.572151,1.317047,0.147869,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
100,310000000,global,11,11,0,robot,"('robot_0', 'robot_2')",robot_0,robot_2,5.575183,1.091053,0.147872,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
100,580000000,global,12,12,0,robot,"('robot_1', 'robot_8')",robot_1,robot_8,0.456503,-5.469424,0.147684,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
102,350000000,global,13,13,0,robot,"('robot_0', 'robot_2')",robot_0,robot_2,5.541277,0.902180,0.272567,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
104,810000000,global,14,14,0,robot,"('robot_1', 'robot_8')",robot_1,robot_8,0.797166,-5.899608,0.148357,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
105,680000000,global,15,15,0,robot,"('robot_0', 'robot_2')",robot_0,robot_2,5.576363,0.800422,0.147539,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
106,40000000,global,16,16,0,robot,"('robot_1', 'robot_8')",robot_1,robot_8,1.033705,-6.127162,0.023789,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
120,960000000,global,17,17,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,0.496941,-4.213663,0.148118,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
122,760000000,global,18,18,0,robot,"('robot_1', 'robot_4')",robot_1,robot_4,0.446797,-4.309619,0.147610,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
131,320000000,global,19,19,0,robot,"('robot_4', 'robot_8')",robot_4,robot_8,0.770545,-5.374350,0.148092,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
133,700000000,global,20,20,0,robot,"('robot_4', 'robot_8')",robot_4,robot_8,0.678515,-5.450321,0.147799,/world/random_world/model/robot_4/link/robot_4/base_footprint/sensor/contact_sensor/contact
