stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
35,970000000,global,1,1,0,robot,"('robot_2', 'robot_3')",robot_2,robot_3,-0.062514,1.967461,0.147718,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
58,450000000,global,2,2,0,robot,"('robot_0', 'robot_3')",robot_0,robot_3,0.740437,1.600263,0.147763,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
58,600000000,global,3,3,0,robot,"('robot_0', 'robot_1')",robot_0,robot_1,1.160575,1.286197,0.023594,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
59,740000000,global,4,4,0,robot,"('robot_0', 'robot_3')",robot_0,robot_3,0.806735,1.819817,0.147989,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
60,670000000,global,5,5,0,robot,"('robot_8', 'robot_9')",robot_8,robot_9,0.971283,-1.643293,0.147955,/world/random_world/model/robot_9/link/robot_9/base_footprint/sensor/contact_sensor/contact
60,830000000,global,6,6,0,robot,"('robot_0', 'robot_3')",robot_0,robot_3,0.795482,1.681120,0.147921,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
63,250000000,global,7,7,0,robot,"('robot_2', 'robot_3')",robot_2,robot_3,0.237470,2.067322,0.147805,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
69,70000000,global,8,8,0,robot,"('robot_2', 'robot_3')",robot_2,robot_3,0.151054,2.103086,0.148243,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
72,510000000,global,9,9,0,robot,"('robot_2', 'robot_3')",robot_2,robot_3,0.060484,2.383113,0.022982,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
73,80000000,global,10,10,0,robot,"('robot_0', 'robot_1')",robot_0,robot_1,1.856693,1.569530,0.148340,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
76,800000000,global,11,11,0,robot,"('robot_2', 'robot_3')",robot_2,robot_3,0.022955,2.314717,0.147669,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
93,70000000,global,12,12,0,robot,"('robot_2', 'robot_5')",robot_2,robot_5,-0.809596,1.329868,0.023085,/world/random_world/model/robot_5/link/robot_5/base_footprint/sensor/contact_sensor/contact
101,310000000,global,13,13,0,robot,"('robot_2', 'robot_5')",robot_2,robot_5,-0.949839,0.826330,0.147905,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
108,440000000,global,14,14,0,robot,"('robot_2', 'robot_5')",robot_2,robot_5,-1.067021,0.891961,0.147834,/world/random_world/model/robot_5/link/robot_5/base_footprint/sensor/contact_sensor/contact
110,80000000,global,15,15,0,robot,"('robot_2', 'robot_5')",robot_2,robot_5,-0.966773,0.980017,0.023175,/world/random_world/model/robot_5/link/robot_5/base_footprint/sensor/contact_sensor/contact
112,990000000,global,16,16,0,robot,"('robot_2', 'robot_5')",robot_2,robot_5,-1.198241,0.895432,0.147936,/world/random_world/model/robot_5/link/robot_5/base_footprint/sensor/contact_sensor/contact
116,440000000,global,17,16,1,obstacle,"('robot_1', 'box3::link::collision')",robot_1,box3::link::collision,3.850453,1.786375,0.147936,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
118,860000000,global,18,16,2,obstacle,"('robot_1', 'box3::link::collision')",robot_1,box3::link::collision,3.889181,1.850152,0.148041,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
120,210000000,global,19,16,3,obstacle,"('robot_1', 'box3::link::collision')",robot_1,box3::link::collision,3.949472,1.948595,0.147578,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
121,880000000,global,20,16,4,obstacle,"('robot_1', 'box3::link::collision')",robot_1,box3::link::collision,3.933853,1.924501,0.147634,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
132,550000000,global,21,17,4,robot,"('robot_0', 'robot_3')",robot_0,robot_3,0.705276,2.901096,0.147929,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
