stamp_sec,stamp_nsec,robot,x,y
1771839312,421727219,robot_7,-0.618,-1.902
1771839312,421792615,robot_3,-0.618,1.902
1771839312,421805393,robot_9,1.618,-1.176
1771839312,421817129,robot_6,-1.618,-1.176
1771839312,421827186,robot_8,0.618,-1.902
1771839312,421841529,robot_0,2.000,-0.000
1771839312,421852926,robot_2,0.618,1.902
1771839312,421863265,robot_5,-2.000,0.000
1771839312,421874278,robot_4,-1.618,1.176
1771839312,421884732,robot_1,1.618,1.176
1771839313,991730770,robot_7,-0.618,-1.902
1771839313,991754795,robot_3,-0.618,1.902
1771839313,991762926,robot_9,1.618,-1.176
1771839313,991769145,robot_6,-1.618,-1.176
1771839313,991775126,robot_8,0.618,-1.902
1771839313,991781014,robot_0,2.000,-0.000
1771839313,991788201,robot_2,0.618,1.902
1771839313,991794178,robot_5,-2.000,0.000
1771839313,991800436,robot_4,-1.618,1.176
1771839313,991806410,robot_1,1.618,1.176
1771839315,255077194,robot_7,-0.618,-1.902
1771839315,255098302,robot_3,-0.618,1.902
1771839315,255106065,robot_9,1.618,-1.176
1771839315,255112090,robot_6,-1.618,-1.176
1771839315,255117806,robot_8,0.618,-1.902
1771839315,255123198,robot_0,2.000,0.000
1771839315,255129214,robot_2,0.618,1.902
1771839315,255134952,robot_5,-2.000,-0.000
1771839315,255148226,robot_4,-1.618,1.176
1771839315,255153571,robot_1,1.618,1.176
1771839315,455434715,robot_7,-0.625,-1.922
1771839315,455463652,robot_3,-0.622,1.913
1771839315,455474335,robot_9,1.627,-1.182
1771839315,455483459,robot_6,-1.635,-1.188
1771839315,455492167,robot_8,0.624,-1.921
1771839315,455500928,robot_0,2.016,-0.000
1771839315,455519890,robot_2,0.623,1.916
1771839315,455528120,robot_5,-2.011,-0.000
1771839315,455535540,robot_4,-1.635,1.188
1771839315,455541189,robot_1,1.635,1.188
1771839315,674665735,robot_7,-0.638,-1.964
1771839315,674685511,robot_3,-0.632,1.942
1771839315,674693192,robot_9,1.646,-1.198
1771839315,674699598,robot_6,-1.670,-1.213
1771839315,674705548,robot_8,0.636,-1.959
1771839315,674711809,robot_0,2.055,-0.003
1771839315,674717486,robot_2,0.637,1.951
1771839315,674723875,robot_5,-2.035,-0.001
1771839315,674729485,robot_4,-1.671,1.214
1771839315,674736293,robot_1,1.666,1.210
1771839315,896365889,robot_7,-0.652,-2.006
1771839315,896417396,robot_3,-0.647,1.981
1771839315,896427689,robot_9,1.676,-1.227
1771839315,896437043,robot_6,-1.702,-1.236
1771839315,896446001,robot_8,0.646,-1.994
1771839315,896455213,robot_0,2.099,-0.009
1771839315,896463400,robot_2,0.657,1.990
1771839315,896471429,robot_5,-2.066,-0.008
1771839315,896479577,robot_4,-1.706,1.240
1771839315,896488090,robot_1,1.695,1.230
1771839316,114600103,robot_7,-0.665,-2.048
1771839316,114619536,robot_3,-0.666,2.015
1771839316,114635392,robot_9,1.706,-1.260
1771839316,114641885,robot_6,-1.735,-1.259
1771839316,114647695,robot_8,0.653,-2.031
1771839316,114659923,robot_0,2.139,-0.015
1771839316,114665580,robot_2,0.678,2.029
1771839316,114684906,robot_5,-2.107,-0.023
1771839316,114690507,robot_4,-1.742,1.266
1771839316,114696126,robot_1,1.726,1.251
1771839316,316315739,robot_7,-0.673,-2.070
1771839316,316341756,robot_3,-0.680,2.033
1771839316,316348848,robot_9,1.733,-1.289
1771839316,316354665,robot_6,-1.769,-1.281
1771839316,316360109,robot_8,0.658,-2.071
1771839316,316366309,robot_0,2.170,-0.021
1771839316,316372085,robot_2,0.697,2.064
1771839316,316377888,robot_5,-2.145,-0.038
1771839316,316383639,robot_4,-1.774,1.289
1771839316,316389666,robot_1,1.760,1.273
1771839316,536302230,robot_7,-0.682,-2.092
1771839316,536324192,robot_3,-0.698,2.050
1771839316,536331938,robot_9,1.763,-1.321
1771839316,536338422,robot_6,-1.805,-1.306
1771839316,536346294,robot_8,0.663,-2.114
1771839316,536354884,robot_0,2.203,-0.028
1771839316,536363069,robot_2,0.718,2.103
1771839316,536371313,robot_5,-2.185,-0.054
1771839316,536379659,robot_4,-1.807,1.313
1771839316,536387808,robot_1,1.796,1.297
1771839316,758102946,robot_7,-0.686,-2.102
1771839316,758139273,robot_3,-0.724,2.070
1771839316,758155626,robot_9,1.791,-1.351
1771839316,758169070,robot_6,-1.830,-1.323
1771839316,758182399,robot_8,0.669,-2.158
1771839316,758195069,robot_0,2.245,-0.040
1771839316,758207164,robot_2,0.738,2.142
1771839316,758219247,robot_5,-2.226,-0.071
1771839316,758260255,robot_4,-1.839,1.333
1771839316,758294132,robot_1,1.831,1.320
1771839316,975711938,robot_7,-0.687,-2.101
1771839316,975734836,robot_3,-0.753,2.093
1771839316,975742203,robot_9,1.817,-1.377
1771839316,975748397,robot_6,-1.851,-1.333
1771839316,975754560,robot_8,0.674,-2.202
1771839316,975760367,robot_0,2.287,-0.052
1771839316,975766193,robot_2,0.759,2.181
1771839316,975771901,robot_5,-2.252,-0.081
1771839316,975777514,robot_4,-1.876,1.349
1771839316,975783063,robot_1,1.868,1.339
1771839317,177221626,robot_7,-0.688,-2.099
1771839317,177246459,robot_3,-0.780,2.109
1771839317,177254577,robot_9,1.841,-1.404
1771839317,177261405,robot_6,-1.877,-1.342
1771839317,177268079,robot_8,0.679,-2.241
1771839317,177274663,robot_0,2.325,-0.063
1771839317,177280900,robot_2,0.778,2.215
1771839317,177287353,robot_5,-2.271,-0.085
1771839317,177293585,robot_4,-1.913,1.360
1771839317,177299830,robot_1,1.897,1.352
1771839317,396235203,robot_7,-0.689,-2.096
1771839317,396257144,robot_3,-0.801,2.125
1771839317,396264187,robot_9,1.871,-1.429
1771839317,396270238,robot_6,-1.920,-1.351
1771839317,396276263,robot_8,0.682,-2.284
1771839317,396282010,robot_0,2.365,-0.070
1771839317,396287611,robot_2,0.802,2.254
1771839317,396293575,robot_5,-2.295,-0.093
