stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
29,630000000,global,1,0,1,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.103623,-4.787443,0.148744,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
32,460000000,global,2,0,2,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.010679,-4.894215,0.148357,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
37,680000000,global,3,0,3,obstacle,"('robot_0', 'box0::link::collision')",robot_0,box0::link::collision,3.307953,-4.554144,0.148253,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
56,80000000,global,4,0,4,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-4.939857,1.733376,0.024338,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
60,400000000,global,5,0,5,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-4.986075,1.445255,0.148247,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
64,570000000,global,6,0,6,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-4.994675,1.375397,0.023247,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact
89,300000000,global,7,0,7,obstacle,"('robot_0', 'box3::link::collision')",robot_0,box3::link::collision,3.972421,1.059178,0.148236,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
94,740000000,global,8,0,8,obstacle,"('robot_0', 'box3::link::collision')",robot_0,box3::link::collision,3.681794,1.238563,0.148088,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
99,660000000,global,9,0,9,obstacle,"('robot_0', 'box3::link::collision')",robot_0,box3::link::collision,3.556689,1.315745,0.273055,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
123,710000000,global,10,0,10,obstacle,"('robot_0', 'cylinder0::link::collision')",robot_0,cylinder0::link::collision,4.379162,4.509328,0.148081,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
