stamp_sec,stamp_nsec,robot,cell_index,cell_min_x,cell_min_y,cell_center_x,cell_center_y
1771841585,156184530,robot_0,133,2.000,0.000,2.500,0.500
1771841585,156199480,robot_1,77,-2.000,0.000,-1.500,0.500
1771841587,167640581,robot_1,62,-3.000,-1.000,-2.500,-0.500
1771841587,387257044,robot_0,132,2.000,-1.000,2.500,-0.500
1771841587,387280299,robot_1,63,-3.000,0.000,-2.500,0.500
1771841592,468556795,robot_1,49,-4.000,0.000,-3.500,0.500
1771841594,367767119,robot_0,131,2.000,-2.000,2.500,-1.500
1771841599,428338017,robot_1,35,-5.000,0.000,-4.500,0.500
1771841600,527551212,robot_1,36,-5.000,1.000,-4.500,1.500
1771841601,587586834,robot_0,130,2.000,-3.000,2.500,-2.500
1771841607,487195606,robot_0,129,2.000,-4.000,2.500,-3.500
1771841612,328803649,robot_1,34,-5.000,-1.000,-4.500,-0.500
1771841613,167604152,robot_0,128,2.000,-5.000,2.500,-4.500
1771841615,267758091,robot_1,48,-4.000,-1.000,-3.500,-0.500
1771841627,748659153,robot_0,142,3.000,-5.000,3.500,-4.500
1771841631,148271566,robot_0,143,3.000,-4.000,3.500,-3.500
1771841633,507868114,robot_1,50,-4.000,1.000,-3.500,1.500
1771841639,227924469,robot_0,144,3.000,-3.000,3.500,-2.500
1771841640,468497606,robot_0,158,4.000,-3.000,4.500,-2.500
1771841659,327808698,robot_0,145,3.000,-2.000,3.500,-1.500
1771841660,169016064,robot_1,21,-6.000,0.000,-5.500,0.500
1771841665,447276763,robot_0,146,3.000,-1.000,3.500,-0.500
1771841665,649064612,robot_1,20,-6.000,-1.000,-5.500,-0.500
1771841671,307570785,robot_0,147,3.000,0.000,3.500,0.500
1771841672,387598366,robot_1,6,-7.000,-1.000,-6.500,-0.500
1771841673,447588412,robot_1,5,-7.000,-2.000,-6.500,-1.500
1771841681,487618029,robot_0,148,3.000,1.000,3.500,1.500
1771841689,948065367,robot_1,19,-6.000,-2.000,-5.500,-1.500
1771841693,807514771,robot_0,149,3.000,2.000,3.500,2.500
1771841699,567536812,robot_0,150,3.000,3.000,3.500,3.500
1771841707,8089988,robot_0,151,3.000,4.000,3.500,4.500
1771841709,547435734,robot_0,165,4.000,4.000,4.500,4.500
1771841718,368271026,robot_0,152,3.000,5.000,3.500,5.500
1771841723,947281046,robot_1,76,-2.000,-1.000,-1.500,-0.500
1771841726,27440296,robot_0,138,2.000,5.000,2.500,5.500
1771841727,507616246,robot_0,139,2.000,6.000,2.500,6.500
